,,root
RAD18,cnv_amp,-1.2781576e-32
DHRS3,mut_important,0.21328296
DHRS3,cnv_del,1.9809607e-33
DHRS3,cnv_amp,1.4312787e-32
TFAP4,mut_important,-2.1986341e-05
TFAP4,cnv_del,7.383211e-07
TFAP4,cnv_amp,5.857759e-05
UBR7,mut_important,-2.8295722e-07
UBR7,cnv_del,3.8516323e-08
UBR7,cnv_amp,-2.39309e-07
RELL2,mut_important,0.41720316
RELL2,cnv_del,-0.46740708
RELL2,cnv_amp,1.6939584e-28
RSBN1L,mut_important,-0.48500875
RSBN1L,cnv_del,-0.35006532
RSBN1L,cnv_amp,0.30596355
DRD3,mut_important,-1.1230143e-05
DRD3,cnv_del,3.0545016e-05
DRD3,cnv_amp,3.657066e-06
CHST7,mut_important,-3.7909984e-07
CHST7,cnv_del,1.7824304e-33
CHST7,cnv_amp,4.7997715e-32
MUSK,mut_important,0.00010473185
MUSK,cnv_del,-0.00044582383
MUSK,cnv_amp,0.00041557022
TLK2,mut_important,-0.62428504
TLK2,cnv_del,-0.13512944
TLK2,cnv_amp,-0.49326643
POLDIP3,mut_important,0.0024158184
POLDIP3,cnv_del,0.00086327025
POLDIP3,cnv_amp,-0.002497874
POLL,mut_important,-0.0042219013
POLL,cnv_del,-0.003300257
POLL,cnv_amp,0.0013824359
FBLN7,mut_important,0.07361954
FBLN7,cnv_del,-0.018702533
FBLN7,cnv_amp,0.18741287
SPEN,mut_important,-0.05819732
SPEN,cnv_del,-0.0021775968
SPEN,cnv_amp,-0.13115849
CUX2,mut_important,-5.783567e-06
CUX2,cnv_del,7.970691e-06
CUX2,cnv_amp,-1.2663946e-05
SNX30,mut_important,1.4927184e-32
SNX30,cnv_del,-8.839201e-05
SNX30,cnv_amp,-0.034190357
DIABLO,mut_important,3.669604e-33
DIABLO,cnv_del,4.0882026e-07
DIABLO,cnv_amp,1.0720856e-06
APOBEC3B,mut_important,1.1639496e-10
APOBEC3B,cnv_del,1.50755025e-30
APOBEC3B,cnv_amp,2.0883768e-32
NFXL1,mut_important,-6.7168826e-11
NFXL1,cnv_del,1.1961908e-11
NFXL1,cnv_amp,-7.621336e-11
STOM,mut_important,0.1617614
STOM,cnv_del,0.30590054
STOM,cnv_amp,-0.17298819
MARK1,mut_important,0.0047941115
MARK1,cnv_del,1.6746035e-32
MARK1,cnv_amp,1.3126693e-32
BLMH,mut_important,0.00016976536
BLMH,cnv_del,-5.7590187e-33
BLMH,cnv_amp,-3.3299954e-26
ATRX,mut_important,-0.0005624649
ATRX,cnv_del,-2.0495602e-32
ATRX,cnv_amp,9.486408e-33
MPG,mut_important,-3.7391013e-31
MPG,cnv_del,-0.06454954
MPG,cnv_amp,0.18912123
WDPCP,mut_important,-8.195717e-13
WDPCP,cnv_del,9.210244e-34
WDPCP,cnv_amp,8.794984e-32
ENDOU,mut_important,-2.1758106e-06
ENDOU,cnv_del,1.0567595e-06
ENDOU,cnv_amp,-9.886275e-06
CACNA1E,mut_important,5.8363483e-05
CACNA1E,cnv_del,-1.6871735e-32
CACNA1E,cnv_amp,-1.5768159e-32
IFIT5,mut_important,-0.00047234228
IFIT5,cnv_del,-0.0004661602
IFIT5,cnv_amp,-4.1137544e-05
PNPLA1,mut_important,5.523556e-07
PNPLA1,cnv_del,-6.5032407e-07
PNPLA1,cnv_amp,-5.4701724e-07
MTCP1,mut_important,0.29724985
MTCP1,cnv_del,1.2418976e-32
MTCP1,cnv_amp,-2.5354357e-25
RBMXL1,mut_important,-4.6321802e-05
RBMXL1,cnv_del,3.5292258e-06
RBMXL1,cnv_amp,9.0509035e-05
RELT,mut_important,-1.2265568e-07
RELT,cnv_del,6.4585535e-08
RELT,cnv_amp,-1.3834801e-07
ULBP3,mut_important,-0.0114130275
ULBP3,cnv_del,1.1038915e-32
ULBP3,cnv_amp,-2.325569e-32
ERCC4,mut_important,5.553636e-12
ERCC4,cnv_del,-2.3689738e-32
ERCC4,cnv_amp,1.5026601e-30
KRTAP10-9,mut_important,-2.2676315e-33
KRTAP10-9,cnv_del,-2.9567529e-05
KRTAP10-9,cnv_amp,-7.806067e-06
FAM217A,mut_important,-0.0009125001
FAM217A,cnv_del,-0.00038544758
FAM217A,cnv_amp,-0.00070433697
SLMAP,mut_important,0.0007452194
SLMAP,cnv_del,0.00024292649
SLMAP,cnv_amp,7.394788e-05
TP53I3,mut_important,-6.787483e-11
TP53I3,cnv_del,-1.2543038e-32
TP53I3,cnv_amp,9.1868786e-32
CIC,mut_important,2.3317201e-32
CIC,cnv_del,0.0113089215
