,,coef
SSBP2,cnv_del,0.0
SSBP2,cnv_amp,0.0
TRUB1,mut_important,0.0
TRUB1,cnv_del,0.0
TRUB1,cnv_amp,0.0
MLF1,mut_important,0.0
MLF1,cnv_del,0.0
MLF1,cnv_amp,0.0
ZNF335,mut_important,0.0
ZNF335,cnv_del,0.0
ZNF335,cnv_amp,0.0
NACC1,mut_important,0.0
NACC1,cnv_del,0.0
NACC1,cnv_amp,0.0
ELF2,mut_important,0.0
ELF2,cnv_del,4.5943397e-37
ELF2,cnv_amp,3.2741046e-30
LMBR1L,mut_important,0.0
LMBR1L,cnv_del,0.0
LMBR1L,cnv_amp,0.0
PARD6A,mut_important,1.8458478e-15
PARD6A,cnv_del,0.0
PARD6A,cnv_amp,0.0
LDHAL6A,mut_important,0.0
LDHAL6A,cnv_del,0.0
LDHAL6A,cnv_amp,0.0
STIP1,mut_important,2.4314145e-14
STIP1,cnv_del,1.1908366e-14
STIP1,cnv_amp,5.0630683e-14
IFIH1,mut_important,1.1899248e-09
IFIH1,cnv_del,1.0928778e-09
IFIH1,cnv_amp,1.1188516e-09
FHAD1,mut_important,0.0
FHAD1,cnv_del,0.0
FHAD1,cnv_amp,0.0
TOP1MT,mut_important,0.0
TOP1MT,cnv_del,0.0
TOP1MT,cnv_amp,0.0
HEATR5A,mut_important,0.0
HEATR5A,cnv_del,0.0
HEATR5A,cnv_amp,0.0
ANKRD13C,mut_important,0.0
ANKRD13C,cnv_del,0.0
ANKRD13C,cnv_amp,0.0
IL17RC,mut_important,0.0
IL17RC,cnv_del,0.0
IL17RC,cnv_amp,0.0
EXOSC1,mut_important,0.0
EXOSC1,cnv_del,9.831384e-12
EXOSC1,cnv_amp,0.0
STXBP5,mut_important,0.0
STXBP5,cnv_del,0.0
STXBP5,cnv_amp,0.0
PLA2G12A,mut_important,0.0
PLA2G12A,cnv_del,0.0
PLA2G12A,cnv_amp,2.2380288e-37
GDF3,mut_important,0.0
GDF3,cnv_del,0.0
GDF3,cnv_amp,0.0
GMIP,mut_important,7.334687e-38
GMIP,cnv_del,0.0
GMIP,cnv_amp,0.0
CHMP6,mut_important,0.0
CHMP6,cnv_del,0.0
CHMP6,cnv_amp,0.0
NLRP9,mut_important,0.0
NLRP9,cnv_del,0.0
NLRP9,cnv_amp,0.0
PZP,mut_important,0.0
PZP,cnv_del,0.0
PZP,cnv_amp,0.0
ATP6V0E2,mut_important,0.0
ATP6V0E2,cnv_del,9.4417975e-37
ATP6V0E2,cnv_amp,1.9525615e-29
KCNMB3,mut_important,0.0
KCNMB3,cnv_del,0.0
KCNMB3,cnv_amp,1.1846221e-36
CPNE4,mut_important,0.0
CPNE4,cnv_del,0.0
CPNE4,cnv_amp,0.0
ATP6V0B,mut_important,0.0
ATP6V0B,cnv_del,3.7014627e-11
ATP6V0B,cnv_amp,1.3008359e-09
SFPQ,mut_important,0.0
SFPQ,cnv_del,4.1638932e-09
SFPQ,cnv_amp,3.7873486e-11
KCNE4,mut_important,0.0
KCNE4,cnv_del,0.0
KCNE4,cnv_amp,1.6728471e-07
ZNF449,mut_important,0.0
ZNF449,cnv_del,0.0
ZNF449,cnv_amp,0.0
SLC11A2,mut_important,0.0
SLC11A2,cnv_del,0.0
SLC11A2,cnv_amp,0.0
TRRAP,mut_important,3.8082146e-09
TRRAP,cnv_del,0.0
TRRAP,cnv_amp,2.85794e-09
CYBRD1,mut_important,0.0
CYBRD1,cnv_del,0.0
CYBRD1,cnv_amp,0.0
ISM1,mut_important,0.0
ISM1,cnv_del,0.0
ISM1,cnv_amp,0.0
SEMA4B,mut_important,0.0
SEMA4B,cnv_del,0.0
SEMA4B,cnv_amp,0.0
PRKCB,mut_important,0.0
PRKCB,cnv_del,0.0
PRKCB,cnv_amp,0.0
NSUN5,mut_important,0.0
NSUN5,cnv_del,0.0
NSUN5,cnv_amp,0.0
PEG3,mut_important,0.0
PEG3,cnv_del,0.0
PEG3,cnv_amp,0.0
FAM102B,mut_important,0.0
FAM102B,cnv_del,0.0
FAM102B,cnv_amp,0.0
IDO2,mut_important,0.0
IDO2,cnv_del,9.761165e-12
IDO2,cnv_amp,2.2698078e-11
STX1A,mut_important,0.0
STX1A,cnv_del,5.127122e-10
STX1A,cnv_amp,2.0304359e-11
SGSH,mut_important,0.0
SGSH,cnv_del,0.0
SGSH,cnv_amp,0.0
NKIRAS2,mut_important,0.0
NKIRAS2,cnv_del,0.0
NKIRAS2,cnv_amp,0.0
WIPI2,mut_important,0.0
WIPI2,cnv_del,1.3660275e-14
WIPI2,cnv_amp,1.176148e-13
RBBP7,mut_important,0.0
RBBP7,cnv_del,0.0
RBBP7,cnv_amp,0.0
TAF4B,mut_important,0.0
TAF4B,cnv_del,0.0
TAF4B,cnv_amp,0.0
STX16,mut_important,0.0
STX16,cnv_del,0.0
STX16,cnv_amp,0.0
STATH,mut_important,0.0
STATH,cnv_del,0.0
STATH,cnv_amp,0.0
CACNB1,mut_important,0.0
CACNB1,cnv_del,0.0
CACNB1,cnv_amp,0.0
RHOBTB1,mut_important,0.0
RHOBTB1,cnv_del,0.0
RHOBTB1,cnv_amp,1.6598914e-08
METTL6,mut_important,0.0
METTL6,cnv_del,0.0
METTL6,cnv_amp,0.0
SYPL1,mut_important,0.0
SYPL1,cnv_del,0.0
SYPL1,cnv_amp,0.0
FAM186B,mut_important,0.0
FAM186B,cnv_del,0.0
FAM186B,cnv_amp,0.0
FAM47A,mut_important,0.0
FAM47A,cnv_del,0.0
FAM47A,cnv_amp,0.0
PRG3,mut_important,0.0
PRG3,cnv_del,0.0
PRG3,cnv_amp,6.877472e-11
ZNF347,mut_important,0.0
ZNF347,cnv_del,0.0
ZNF347,cnv_amp,0.0
DCD,mut_important,0.0
DCD,cnv_del,0.0
DCD,cnv_amp,0.0
LIPE,mut_important,3.6518298e-08
LIPE,cnv_del,0.0
LIPE,cnv_amp,0.0
PAX8,mut_important,0.0
PAX8,cnv_del,0.0
PAX8,cnv_amp,0.0
NDUFS7,mut_important,0.0
NDUFS7,cnv_del,0.0
NDUFS7,cnv_amp,0.0
RNF7,mut_important,0.0
RNF7,cnv_del,0.0
RNF7,cnv_amp,0.0
ZNF77,mut_important,0.0
ZNF77,cnv_del,0.0
ZNF77,cnv_amp,0.0
ASB12,mut_important,0.0
ASB12,cnv_del,0.0
ASB12,cnv_amp,0.0
ALG11,mut_important,0.0
ALG11,cnv_del,0.0
ALG11,cnv_amp,0.0
DAG1,mut_important,3.549575e-18
DAG1,cnv_del,0.0
DAG1,cnv_amp,0.0
TSPAN8,mut_important,0.0
