,R-HSA-8953897,R-HSA-162582,R-HSA-1640170,R-HSA-8953854,R-HSA-392499,R-HSA-382551,R-HSA-1643685,R-HSA-73894,R-HSA-5357801,R-HSA-5205647,R-HSA-8963743,R-HSA-5653656,R-HSA-112316,R-HSA-1430728,R-HSA-1266738,R-HSA-1474165,R-HSA-397014,R-HSA-1852241,R-HSA-168256,R-HSA-1474244,R-HSA-109582,R-HSA-4839726,R-HSA-400253,R-HSA-69306,R-HSA-74160,R-HSA-1500931
PRAD-01115249-SM-6VZ7K,-0.024,-0.028,0.001,0.005,0.013,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
PRAD-6115381.0-SM-7LGU3,-0.024,-0.027,0.0,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.018,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
PRAD-6115398.0-SM-7LGUK,-0.024,-0.028,-0.004,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.015,-0.027,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
PRAD-6115402.0-SM-7LGUP,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.025,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
PROS10448-1115150-SM-5EEBK,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
PROS10448-SUTC.01115090-SM-4JC6W,-0.024,-0.027,-0.003,0.005,0.013,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
PROS11496-6115288-SM-6CNQ1,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.015,-0.019,-0.012,-0.008,0.012,-0.026,0.024,-0.022,0.01,-0.008,-0.011,-0.062,0.001
PROS12319B-SU2C-06115116-SM-4W2NB,-0.024,-0.027,-0.003,0.005,0.014,0.022,0.036,0.032,-0.015,0.004,0.007,0.012,0.016,0.016,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.06,0.001
PROS12319B-SU2C-06115121-SM-4W2NG,-0.024,-0.028,0.001,0.005,0.014,0.021,0.036,0.031,-0.015,0.005,0.007,0.013,0.016,0.017,-0.019,-0.012,-0.008,0.011,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.064,0.001
SC_9016,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.019,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.062,0.001
SC_9018,-0.024,-0.028,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.015,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
SC_9027,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.017,-0.018,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
SC_9028,-0.024,-0.028,-0.003,0.005,0.014,0.021,0.036,0.031,-0.014,0.004,0.007,0.012,0.016,0.017,-0.019,-0.012,-0.008,0.012,-0.025,0.023,-0.022,0.01,-0.008,-0.011,-0.062,0.001
SC_9063,-0.024,-0.027,-0.003,0.005,0.014,0.021,0.036,0.031,-0.015,0.004,0.007,0.012,0.016,0.016,-0.019,-0.012,-0.008,0.012,-0.026,0.023,-0.022,0.01,-0.008,-0.011,-0.061,0.001
