,fanin,fanout,degree
R-HSA-881907,11.0,1.0,12.0
R-HSA-381753,206.0,1.0,207.0
R-HSA-420597,1.0,1.0,2.0
R-HSA-432720,27.0,1.0,28.0
R-HSA-432722,44.0,1.0,45.0
R-HSA-435354,8.0,1.0,9.0
R-HSA-427589,1.0,1.0,2.0
R-HSA-438064,20.0,1.0,21.0
R-HSA-5218920,20.0,1.0,21.0
R-HSA-5218921,12.0,1.0,13.0
R-HSA-438066,11.0,1.0,12.0
R-HSA-448706,2.0,1.0,3.0
R-HSA-9007892,1.0,1.0,2.0
R-HSA-9008059,14.0,1.0,15.0
R-HSA-9012546,1.0,1.0,2.0
R-HSA-9014826,3.0,1.0,4.0
R-HSA-9014843,2.0,1.0,3.0
R-HSA-8984722,7.0,1.0,8.0
R-HSA-9020591,20.0,1.0,21.0
R-HSA-9020933,2.0,1.0,3.0
R-HSA-9020956,8.0,1.0,9.0
R-HSA-451306,5.0,1.0,6.0
R-HSA-500657,15.0,1.0,16.0
R-HSA-8983432,9.0,1.0,10.0
R-HSA-8985947,7.0,1.0,8.0
R-HSA-9020558,9.0,1.0,10.0
R-HSA-9020958,7.0,1.0,8.0
R-HSA-912526,15.0,2.0,17.0
R-HSA-5467340,9.0,1.0,10.0
R-HSA-5467345,1.0,1.0,2.0
R-HSA-5358747,10.0,1.0,11.0
R-HSA-5358749,10.0,1.0,11.0
R-HSA-5358751,10.0,1.0,11.0
R-HSA-5358752,10.0,1.0,11.0
R-HSA-5467333,1.0,1.0,2.0
R-HSA-5467337,9.0,1.0,10.0
R-HSA-5467343,0.0,1.0,1.0
R-HSA-5467348,9.0,1.0,10.0
R-HSA-912631,16.0,1.0,17.0
R-HSA-901042,18.0,1.0,19.0
R-HSA-549127,1.0,1.0,2.0
R-HSA-561048,2.0,1.0,3.0
R-HSA-5607761,35.0,1.0,36.0
R-HSA-5607763,7.0,1.0,8.0
R-HSA-5660668,2.0,1.0,3.0
R-HSA-5625886,14.0,1.0,15.0
R-HSA-5637810,12.0,1.0,13.0
R-HSA-1236382,15.0,1.0,16.0
R-HSA-5638303,1.0,1.0,2.0
R-HSA-5654687,21.0,1.0,22.0
R-HSA-5654696,20.0,1.0,21.0
R-HSA-5654708,18.0,1.0,19.0
R-HSA-5654716,21.0,1.0,22.0
