,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
RMND5B,0.0,0.0,0.0,-0.056590393,0.22805494
BTN3A2,0.00989963,1.0,0.00989963,47.71569,34.29163
SSBP2,0.0,0.0,0.0,-0.056590393,0.22805494
TRUB1,0.0,0.0,0.0,-0.056590393,0.22805494
MLF1,0.0,0.0,0.0,-0.056590393,0.22805494
ZNF335,0.0,0.0,0.0,-0.056590393,0.22805494
NACC1,0.0,0.0,0.0,-0.056590393,0.22805494
ELF2,0.0,1.0,0.0,-0.056590393,0.06805289
LMBR1L,0.0,0.0,0.0,-0.056590393,0.22805494
PARD6A,1.8458487e-15,3.0,1.8458487e-15,-0.056590393,-0.2519512
LDHAL6A,0.0,0.0,0.0,-0.056590393,0.22805494
STIP1,1.4408098e-14,1.0,1.4408098e-14,-0.056590393,0.06805289
IFIH1,3.4016565e-09,7.0,3.4016565e-09,-0.056573976,-0.8919476
FHAD1,0.0,0.0,0.0,-0.056590393,0.22805494
TOP1MT,0.0,0.0,0.0,-0.056590393,0.22805494
HEATR5A,0.0,0.0,0.0,-0.056590393,0.22805494
ANKRD13C,0.0,0.0,0.0,-0.056590393,0.22805494
IL17RC,0.0,0.0,0.0,-0.056590393,0.22805494
EXOSC1,9.831404e-12,5.0,9.831404e-12,-0.056590345,-0.5719552
STXBP5,0.0,0.0,0.0,-0.056590393,0.22805494
PLA2G12A,0.0,6.0,0.0,-0.056590393,-0.7319573
GDF3,0.0,0.0,0.0,-0.056590393,0.22805494
GMIP,0.0,1.0,0.0,-0.056590393,0.06805289
CHMP6,0.0,2.0,0.0,-0.056590393,-0.09194915
NLRP9,0.0,0.0,0.0,-0.056590393,0.22805494
PZP,0.0,0.0,0.0,-0.056590393,0.22805494
ATP6V0E2,0.0,3.0,0.0,-0.056590393,-0.2519512
KCNMB3,0.0,2.0,0.0,-0.056590393,-0.09194915
CPNE4,0.0,0.0,0.0,-0.056590393,0.22805494
ATP6V0B,1.3378505e-09,3.0,1.3378505e-09,-0.056583937,-0.25194657
SFPQ,4.201767e-09,1.0,4.201767e-09,-0.056570116,0.06806742
KCNE4,1.6728468e-07,2.0,1.6728468e-07,-0.055783134,-0.09137084
ZNF449,0.0,0.0,0.0,-0.056590393,0.22805494
SLC11A2,0.0,0.0,0.0,-0.056590393,0.22805494
TRRAP,9.502816e-10,2.0,9.502816e-10,-0.056585804,-0.091945864
CYBRD1,0.0,0.0,0.0,-0.056590393,0.22805494
ISM1,0.0,0.0,0.0,-0.056590393,0.22805494
SEMA4B,0.0,0.0,0.0,-0.056590393,0.22805494
PRKCB,0.0,8.0,0.0,-0.056590393,-1.0519614
NSUN5,0.0,0.0,0.0,-0.056590393,0.22805494
PEG3,0.0,0.0,0.0,-0.056590393,0.22805494
FAM102B,0.0,0.0,0.0,-0.056590393,0.22805494
IDO2,1.2936848e-11,1.0,1.2936848e-11,-0.05659033,0.06805293
STX1A,5.3301663e-10,10.0,5.3301663e-10,-0.05658782,-1.3719636
SGSH,0.0,1.0,0.0,-0.056590393,0.06805289
NKIRAS2,0.0,0.0,0.0,-0.056590393,0.22805494
WIPI2,1.0395452e-13,1.0,1.0395452e-13,-0.056590393,0.06805289
RBBP7,0.0,13.0,0.0,-0.056590393,-1.8519715
TAF4B,0.0,6.0,0.0,-0.056590393,-0.7319573
STX16,0.0,2.0,0.0,-0.056590393,-0.09194915
STATH,0.0,0.0,0.0,-0.056590393,0.22805494
CACNB1,0.0,4.0,0.0,-0.056590393,-0.41195324
RHOBTB1,1.6598914e-08,1.0,1.6598914e-08,-0.05651029,0.06811027
METTL6,0.0,0.0,0.0,-0.056590393,0.22805494
SYPL1,0.0,0.0,0.0,-0.056590393,0.22805494
FAM186B,0.0,0.0,0.0,-0.056590393,0.22805494
FAM47A,0.0,0.0,0.0,-0.056590393,0.22805494
PRG3,6.8774694e-11,1.0,6.8774694e-11,-0.056590058,0.06805313
ZNF347,0.0,0.0,0.0,-0.056590393,0.22805494
DCD,0.0,0.0,0.0,-0.056590393,0.22805494
LIPE,3.6518298e-08,1.0,3.6518298e-08,-0.05641417,0.06817913
PAX8,0.0,0.0,0.0,-0.056590393,0.22805494
NDUFS7,0.0,1.0,0.0,-0.056590393,0.06805289
RNF7,0.0,2.0,0.0,-0.056590393,-0.09194915
ZNF77,0.0,0.0,0.0,-0.056590393,0.22805494
ASB12,0.0,2.0,0.0,-0.056590393,-0.09194915
ALG11,0.0,0.0,0.0,-0.056590393,0.22805494
DAG1,3.5495656e-18,5.0,3.5495656e-18,-0.056590393,-0.57195526
TSPAN8,0.0,0.0,0.0,-0.056590393,0.22805494
SPP2,1.5409072e-13,3.0,1.5409072e-13,-0.056590393,-0.2519512
SEZ6L2,0.0,0.0,0.0,-0.056590393,0.22805494
MCCC1,0.0,2.0,0.0,-0.056590393,-0.09194915
WFIKKN2,0.0,0.0,0.0,-0.056590393,0.22805494
TMEM120A,0.0,0.0,0.0,-0.056590393,0.22805494
RHOT1,2.263426e-09,2.0,2.263426e-09,-0.056579467,-0.09194132
DTNA,0.0,0.0,0.0,-0.056590393,0.22805494
SEMA7A,1.0599136e-08,1.0,1.0599136e-08,-0.056539245,0.06808953
FAM83G,0.0,0.0,0.0,-0.056590393,0.22805494
CRIM1,0.0,0.0,0.0,-0.056590393,0.22805494
STON2,0.0,1.0,0.0,-0.056590393,0.06805289
ZIM3,0.0,0.0,0.0,-0.056590393,0.22805494
COX18,0.0,0.0,0.0,-0.056590393,0.22805494
ATAT1,0.0,0.0,0.0,-0.056590393,0.22805494
CARD6,0.0,0.0,0.0,-0.056590393,0.22805494
APOBEC2,9.00286e-12,1.0,9.00286e-12,-0.05659035,0.06805292
EMP2,0.0,0.0,0.0,-0.056590393,0.22805494
RTBDN,0.0,0.0,0.0,-0.056590393,0.22805494
SNUPN,0.0,1.0,0.0,-0.056590393,0.06805289
CHRNA6,1.3208589e-18,1.0,1.3208589e-18,-0.056590393,0.06805289
TNFRSF10D,0.0,2.0,0.0,-0.056590393,-0.09194915
FAM161A,0.0,0.0,0.0,-0.056590393,0.22805494
TTR,0.0,3.0,0.0,-0.056590393,-0.2519512
NAF1,0.0,0.0,0.0,-0.056590393,0.22805494
TGFBI,1.1463926e-11,1.0,1.1463926e-11,-0.056590334,0.068052925
PLD3,0.0,2.0,0.0,-0.056590393,-0.09194915
EIF3A,4.543879e-13,6.0,4.543879e-13,-0.056590393,-0.7319573
SREBF2,6.597588e-27,1.0,6.597588e-27,-0.056590393,0.06805289
CANX,8.144929e-12,5.0,8.144929e-12,-0.056590352,-0.57195526
