ind,Cellular responses to external stimuli,Signal Transduction,Cell Cycle,Metabolism of RNA,Metabolism of proteins,Transport of small molecules,Disease,DNA Repair,Programmed Cell Death,Mitophagy,Digestion and absorption,Vesicle-mediated transport,Neuronal System,Metabolism,Developmental Biology,Reproduction,Muscle contraction,Organelle biogenesis and maintenance,Immune System,Extracellular matrix organization,Hemostasis,Chromatin organization,Circadian Clock,DNA Replication,Gene expression (Transcription),Cell-Cell communication
PROS10448-1115150-SM-5EEBK,-0.0,0.0,-0.0,-6.125742e-11,-8.569462e-11,-0.0,-5.0500826e-10,1.0471076e-09,5.7701302e-11,0.0,-0.0,-5.232669e-10,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-1.1832961e-09,-1.3547176e-10,1.1826756e-10,0.0,0.0,0.0,0.0,-0.0
PROS10448-SUTC.01115090-SM-4JC6W,-0.0,2.994716e-05,-7.3167405e-09,1.3076227e-08,-4.5588313e-05,-1.9339181e-08,4.7542457e-05,5.988433e-07,-5.0047337e-08,0.0,-0.0,6.330449e-07,-3.907637e-08,-3.6496056e-06,0.00012315054,-3.354622e-10,-1.0306795e-08,-0.0,4.927719e-06,1.8691912e-07,-4.422452e-08,-6.62188e-06,0.0,0.0,-2.1351952e-05,-0.0
PROS11496-6115288-SM-6CNQ1,1.0112713e-06,-2.2671666e-05,-1.947132e-06,-5.5164446e-09,-7.896308e-07,1.1546881e-06,5.082898e-06,-2.09546e-07,1.1258442e-09,0.0,-0.0,-0.0,-5.4141516e-08,3.208342e-05,2.883957e-06,-3.357189e-10,9.7069955e-05,-2.497615e-06,7.782823e-07,-2.3160057e-05,1.5667933e-07,4.0796039e-07,0.0,2.1764106e-07,-0.00016985633,-0.0
PROS12319B-SU2C-06115116-SM-4W2NB,1.9392726e-06,2.3152701e-07,-8.1748806e-07,-1.8344765e-10,-2.7737397e-07,-4.995878e-06,-3.2671774e-06,-0.00010329501,2.8742091e-08,-7.388457e-05,-0.0,1.181365e-06,-1.8247898e-11,8.354944e-06,9.926482e-08,-3.0701623e-09,-1.0976367e-08,-0.0,-2.3029577e-06,-1.1021446e-07,2.7389609e-08,-1.3651444e-05,0.0,4.7357917e-06,0.0002011022,-0.0
PROS12319B-SU2C-06115121-SM-4W2NG,8.774268e-07,-9.586589e-05,-0.00034535362,3.871203e-08,3.0374815e-05,-1.3955386e-07,1.25637425e-05,3.40496e-05,1.5114683e-06,8.476792e-05,-0.0,-0.0001515507,1.4623146e-10,-1.7537046e-06,0.00012934137,2.2422343e-08,2.473883e-09,0.00012340654,1.4358968e-06,-4.0638737e-10,-5.4517603e-08,-5.997247e-05,0.0,0.0,-0.00037491266,-2.1276374e-10
SC_9016,1.0108329e-06,4.513393e-06,-2.1128692e-06,3.063363e-11,5.171215e-07,-2.2321832e-10,-5.8590366e-08,1.0472758e-09,1.1253561e-09,0.0,-0.0,-1.9275014e-06,-0.0,-5.4742424e-05,1.1919471e-06,0.0,-0.0,-0.0,1.1941376e-06,-1.3549352e-10,1.1828656e-10,-2.8285069e-05,0.0,-1.41606655e-08,-4.2610387e-05,-0.0
SC_9018,1.0133679e-06,-0.00020528326,-2.2797713e-06,-6.126957e-11,-9.171142e-09,-5.9527133e-10,3.2377451e-07,-1.5709729e-09,-3.0818605e-08,0.0,-0.0,6.43397e-07,-0.0,3.30798e-05,2.1885066e-06,-3.35586e-10,-0.0,-0.0,9.581339e-07,-1.3549863e-10,9.463281e-10,0.0,0.0,0.0,2.6305077e-06,-0.0
SC_9027,-0.0,8.2159454e-07,-1.8771629e-10,-5.440623e-07,-2.6490296e-08,1.2507343e-05,-5.0521154e-10,1.0475291e-09,5.772453e-11,0.0,-0.0,-8.625165e-07,7.315018e-11,6.1976016e-06,-9.3080074e-05,0.0,-2.1312921e-08,7.1858763e-06,-8.878293e-08,-6.247762e-08,-1.4030995e-06,3.5175438e-09,0.0,-5.70313e-07,0.0,-0.0
SC_9028,1.0092698e-06,-7.951237e-05,-2.093686e-06,-4.2271693e-09,-2.2282746e-08,-0.0,-1.2168335e-05,1.0472084e-09,5.9515964e-06,0.0,-0.0,-4.5284386e-07,-0.0,-2.3935893e-08,-3.9168015e-07,0.0,-0.0,-3.218529e-10,-7.44712e-05,-1.354848e-10,1.5376263e-07,1.07940245e-07,0.0,0.0,-3.5434314e-05,-8.293834e-08
SC_9063,4.8306066e-07,1.773514e-06,-9.931765e-07,-6.119492e-11,-1.3795596e-07,-0.0,-1.2561874e-07,1.0460391e-09,5.1878185e-10,0.0,-0.0,-1.1850357e-06,-7.487229e-10,7.912691e-06,2.2343633e-05,0.0,-2.6912199e-08,-0.0,8.0276953e-07,-1.3533352e-10,1.1814688e-10,0.0,0.0,-1.4143946e-08,7.6562327e-07,-0.0
