ind,Disease,Metabolism of RNA,Neuronal System,Signal Transduction,Programmed Cell Death,DNA Repair,Mitophagy,Metabolism,Vesicle-mediated transport,Cell Cycle,Digestion and absorption,Circadian Clock,Cellular responses to external stimuli,Reproduction,Chromatin organization,Extracellular matrix organization,Gene expression (Transcription),Developmental Biology,Transport of small molecules,DNA Replication,Hemostasis,Metabolism of proteins,Immune System,Muscle contraction,Organelle biogenesis and maintenance,Cell-Cell communication
GSM1594680,-8.165462e-05,2.2680713e-06,4.446506e-06,2.1943897e-05,-9.61767e-07,-8.713364e-05,8.360295e-05,-2.8258022e-05,2.7012304e-05,-3.2063815e-06,2.0187062e-07,-3.1493648e-05,-8.9504996e-05,2.456611e-05,5.167529e-07,7.0581206e-07,-5.2707164e-05,-4.0728587e-06,2.276385e-06,-3.4522056e-06,1.0087409e-05,-0.0002123563,-0.0013244512,7.663728e-06,-3.4823023e-07,1.1284759e-06
GSM1594755,-8.66639e-05,-1.1021118e-06,4.189765e-06,1.8086099e-05,-1.4499685e-06,-8.841803e-05,8.046096e-05,-2.8638713e-05,2.6203455e-05,-3.060524e-06,2.1928696e-07,-3.5541398e-05,-9.7529664e-05,2.513245e-05,3.8372326e-07,7.909494e-06,-6.395882e-05,-3.8702506e-06,2.5545426e-06,-2.8879683e-06,5.1424827e-06,-0.00020429079,-0.0012839626,7.5106545e-06,-4.6625448e-07,1.2400047e-06
GSM1594761,-8.0274775e-05,-3.3581134e-06,3.8045034e-06,1.5424821e-05,-1.0787468e-06,-8.622911e-05,8.279099e-05,-1.7571458e-05,2.8281092e-05,-3.1862533e-06,2.105034e-07,-3.079885e-05,-0.00013223027,2.4291287e-05,4.4050094e-07,-1.2008727e-05,-5.979281e-05,-3.5889996e-06,1.9836402e-06,-6.1761293e-06,9.117933e-06,-0.00021217336,-0.001328175,7.1550758e-06,-5.288533e-07,1.1795047e-06
GSM1594858,-7.768422e-05,-3.9213005e-06,4.4982366e-06,1.5760586e-05,-9.3606025e-07,-8.469846e-05,8.299931e-05,-2.3698834e-05,3.4197314e-05,-3.6967176e-06,2.2718297e-07,-3.008659e-05,-0.0001009298,2.5476878e-05,4.754547e-07,-6.0244435e-07,-6.656123e-05,-4.225503e-06,1.7658771e-06,-5.28185e-06,1.1771396e-05,-0.00020124116,-0.0012972378,7.401492e-06,-3.9809825e-07,1.2731604e-06
GSM1594880,-8.677744e-05,-1.4739529e-06,3.0261406e-06,2.2071461e-05,-9.251011e-07,-8.398347e-05,8.264292e-05,-1.9052566e-05,2.6065185e-05,-3.130973e-06,2.2525238e-07,-3.247281e-05,-0.00010434536,2.5280287e-05,5.0597805e-07,-2.2689348e-06,-5.431986e-05,-3.8629787e-06,2.5361649e-06,-4.1770795e-06,8.23047e-06,-0.00020849728,-0.0012150354,7.2935136e-06,-3.5882977e-07,1.2955817e-06
GSM1594884,-8.271376e-05,-1.2079802e-06,4.258369e-06,2.5412104e-05,-1.0004791e-06,-8.7013555e-05,8.320153e-05,-2.6468077e-05,3.092608e-05,-3.2613862e-06,2.2245176e-07,-3.2112323e-05,-0.000115261595,2.4163715e-05,5.739734e-07,-2.394365e-06,-6.2924584e-05,-4.129021e-06,1.8134843e-06,-3.1530878e-06,6.284899e-06,-0.00020382533,-0.00131948,7.1169034e-06,-4.8059e-07,1.3824014e-06
GSM1595079,-7.889822e-05,-1.0634174e-05,2.7247033e-06,2.5051313e-05,-1.132011e-06,-8.230109e-05,8.465155e-05,-1.3662097e-05,2.7224962e-05,-3.3295144e-06,2.0095756e-07,-3.3103453e-05,-0.00010403921,2.5205909e-05,5.4885146e-07,-4.605494e-06,-5.1900624e-05,-3.8773355e-06,1.4455976e-06,-3.5444973e-06,6.1205883e-06,-0.00019593505,-0.0013059918,6.862187e-06,-4.187732e-07,1.1307683e-06
GSM1595120,-8.212437e-05,2.9065511e-06,4.5381807e-06,3.2698557e-05,-1.0045732e-06,-8.712322e-05,8.41802e-05,-2.2076609e-05,2.7938944e-05,-3.2142457e-06,1.9312436e-07,-3.3726825e-05,-0.00013447437,2.3674453e-05,5.276577e-07,-2.586298e-06,-5.249927e-05,-4.306722e-06,2.6095727e-06,-3.4182017e-06,7.855835e-06,-0.0002056363,-0.0014339405,7.4831246e-06,-4.1217092e-07,1.2397797e-06
GSM1595145,-8.840681e-05,-2.7264891e-06,3.8612666e-06,2.2690007e-05,-1.0592688e-06,-9.0156005e-05,8.285518e-05,-2.5724441e-05,2.6160826e-05,-3.5660967e-06,2.0940836e-07,-3.2606735e-05,-7.877699e-05,2.3965127e-05,3.7808223e-07,1.0940172e-06,-6.2233805e-05,-3.700883e-06,2.2543713e-06,-3.6350718e-06,8.209278e-06,-0.00022548086,-0.0011790049,7.558277e-06,-4.3441523e-07,1.1987603e-06
GSM1595153,-8.4440544e-05,-8.111768e-06,4.551592e-06,1.4446627e-05,-7.9462234e-07,-8.781942e-05,8.2922736e-05,-1.950779e-05,2.616912e-05,-2.961788e-06,2.20228e-07,-3.1617084e-05,-0.00010664403,2.3573313e-05,5.765746e-07,-6.9972857e-06,-5.2519288e-05,-3.999981e-06,2.7666786e-06,-4.4676726e-06,8.842147e-06,-0.0002162663,-0.0012029835,7.830865e-06,-4.0364353e-07,1.23764e-06
GSM1595198,-8.687744e-05,-6.2604804e-06,3.18054e-06,2.2244289e-05,-1.077386e-06,-8.947597e-05,8.533195e-05,-2.3379476e-05,2.5352821e-05,-3.2507817e-06,2.0046697e-07,-3.315293e-05,-8.588874e-05,2.4784214e-05,5.0427434e-07,1.4115654e-06,-5.598248e-05,-4.017862e-06,2.645913e-06,-5.249049e-06,8.887157e-06,-0.0002161972,-0.0011873798,7.683345e-06,-4.0656113e-07,1.2537779e-06
