ind,Cell-Cell communication,Immune System,Hemostasis,Digestion and absorption,DNA Repair,Cell Cycle,Metabolism,Transport of small molecules,Disease,Mitophagy,Neuronal System,Gene expression (Transcription),Extracellular matrix organization,Developmental Biology,Organelle biogenesis and maintenance,Programmed Cell Death,Reproduction,Chromatin organization,DNA Replication,Muscle contraction,Vesicle-mediated transport,Signal Transduction,Cellular responses to external stimuli,Metabolism of RNA,Circadian Clock,Metabolism of proteins
GSM1594988,6.0211204e-07,7.6223085e-05,-3.8724582e-05,-1.26748105e-08,-0.00018150885,5.8246624e-05,2.0299833e-05,3.9517166e-05,1.2210477e-06,-4.8316605e-07,1.4680298e-05,-7.95905e-06,2.0161079e-07,-4.6765454e-06,-9.33337e-08,7.1453957e-07,7.468023e-08,-6.981456e-06,2.160638e-06,-9.606154e-08,2.1658932e-06,7.263792e-05,-4.3627773e-05,4.752785e-06,-6.1836215e-07,-5.4615484e-05
GSM1595155,7.459557e-07,9.335178e-05,-3.5964316e-05,-1.22324835e-08,-0.00019037699,6.8836984e-05,1.5175009e-05,5.7486333e-05,1.2109095e-06,-6.7695646e-07,1.7590393e-05,-7.4697305e-06,8.641277e-08,-4.9851574e-06,-9.364726e-08,8.0002275e-07,-3.3838472e-07,-6.738572e-06,2.3361545e-06,-9.676235e-08,2.2088282e-06,4.2231266e-05,-4.847881e-05,5.330056e-06,-6.471135e-07,-5.3950167e-05
GSM1595185,8.660645e-07,9.054888e-05,-4.319263e-05,-1.2884098e-08,-0.00018844813,7.3550174e-05,1.5562877e-05,4.9002032e-05,1.2141596e-06,-6.9446435e-07,1.639632e-05,-7.0807846e-06,-1.2625612e-08,-5.2790524e-06,-8.5634156e-08,1.0209098e-06,3.2547973e-08,-7.766904e-06,2.340669e-06,-9.690449e-08,2.1644107e-06,5.9217225e-05,-5.162168e-05,6.25322e-06,-6.227375e-07,-5.640595e-05
GSM1594224,7.791064e-07,8.279096e-05,-3.7797126e-05,-1.1192289e-08,-0.00019064493,6.558541e-05,1.5855032e-05,4.2490687e-05,1.3214511e-06,-5.025145e-07,1.4750473e-05,-5.1786737e-06,5.956438e-08,-5.5948835e-06,-9.776462e-08,7.4076377e-07,1.5951906e-07,-4.4862923e-06,2.2571044e-06,-9.774379e-08,2.1255762e-06,5.4230102e-05,-5.1787036e-05,6.315183e-06,-6.3999886e-07,-5.7545316e-05
GSM1594253,7.4552895e-07,6.7602865e-05,-3.5391946e-05,-1.2884495e-08,-0.00019701445,6.871965e-05,1.6416836e-05,4.671704e-05,1.3132924e-06,-7.902666e-07,1.7543867e-05,-8.466123e-06,-3.302616e-07,-4.302859e-06,-8.727639e-08,6.862161e-07,-3.2421335e-07,-8.858742e-06,2.2334532e-06,-9.3477134e-08,2.095288e-06,6.61969e-05,-4.8861333e-05,5.503909e-06,-6.2077027e-07,-5.7348232e-05
GSM1594266,8.495518e-07,7.8756435e-05,-4.242528e-05,-1.2883701e-08,-0.00019506337,7.172184e-05,1.5939926e-05,4.806225e-05,1.3961037e-06,-7.767073e-07,1.6424377e-05,-7.1487734e-06,-1.9146358e-07,-4.2618044e-06,-9.2926925e-08,8.7146714e-07,-3.7141837e-07,-5.743066e-06,2.3063883e-06,-9.347137e-08,2.1439728e-06,5.962815e-05,-5.180493e-05,6.601642e-06,-6.3364325e-07,-5.5146204e-05
GSM1594282,7.5145925e-07,9.579703e-05,-3.383748e-05,-1.3940699e-08,-0.00020336994,6.385579e-05,1.3724884e-05,5.859219e-05,1.5400209e-06,-6.392437e-07,1.568586e-05,-1.4577162e-05,-4.879149e-07,-8.546549e-06,-9.207822e-08,6.971039e-07,2.8975174e-07,-7.988634e-06,2.2508993e-06,-7.804109e-08,2.2917254e-06,3.0833402e-05,-4.6977515e-05,4.3794103e-06,-6.1282867e-07,-5.894717e-05
GSM1594335,4.7534323e-07,7.315003e-05,-4.2050033e-05,-1.268146e-08,-0.00019432152,7.1429546e-05,1.53752e-05,4.207411e-05,1.1352886e-06,-5.3900226e-07,1.6133634e-05,-8.401728e-06,3.9763427e-07,-3.3483686e-06,-8.956849e-08,7.208009e-07,-1.7945432e-07,-6.4941923e-06,2.3551447e-06,-9.0963084e-08,2.0608704e-06,6.458865e-05,-5.0437768e-05,6.169541e-06,-6.3607933e-07,-5.597608e-05
GSM1594358,5.22412e-07,6.9519294e-05,-4.0662355e-05,-1.3299744e-08,-0.00020234716,5.914353e-05,1.4294019e-05,4.4735287e-05,1.0672246e-06,-7.667324e-07,1.4724675e-05,-5.4432635e-06,4.1182003e-07,-2.08629e-06,-8.8647965e-08,7.249438e-07,-1.2948765e-07,-5.2086853e-06,2.1718681e-06,-9.942647e-08,2.0192406e-06,4.954008e-05,-4.7805366e-05,6.607226e-06,-6.373105e-07,-5.3855685e-05
GSM1594391,7.7771614e-07,0.00010027078,-3.733029e-05,-1.3302287e-08,-0.0002037049,6.4536456e-05,1.4461541e-05,4.440961e-05,1.4656734e-06,-7.9719393e-07,1.505435e-05,-8.0186655e-06,-1.0392097e-07,-6.326186e-06,-9.290689e-08,7.327273e-07,1.4737618e-07,-4.5784404e-06,2.2245558e-06,-8.658615e-08,2.1721746e-06,3.0498793e-05,-4.5810233e-05,5.719348e-06,-6.448789e-07,-5.4675245e-05
GSM1594462,4.808936e-07,8.8959605e-05,-3.593599e-05,-1.1826721e-08,-0.00018874253,6.1539664e-05,1.1691806e-05,4.06499e-05,1.2951815e-06,-4.8874335e-07,1.5303249e-05,-1.3437468e-05,-6.1440267e-07,-4.779589e-06,-8.570702e-08,6.811197e-07,2.8524198e-07,-7.149571e-06,2.1255405e-06,-8.66042e-08,2.0942239e-06,4.831578e-05,-4.705368e-05,6.321123e-06,-6.2813086e-07,-5.8817575e-05
GSM1594551,7.5365574e-07,0.00010396945,-4.2027463e-05,-1.2671311e-08,-0.00019121659,7.3905416e-05,1.4883053e-05,5.7445017e-05,1.2787366e-06,-9.717693e-07,1.6923377e-05,-9.968423e-06,1.073113e-08,-4.4424073e-06,-8.546564e-08,9.684353e-07,9.76318e-08,-9.262593e-06,2.3415694e-06,-9.689248e-08,2.1314745e-06,4.799598e-05,-4.7413898e-05,5.0726394e-06,-6.3010833e-07,-5.4993445e-05
GSM1594575,6.8887715e-07,7.319059e-05,-4.3523567e-05,-1.2668957e-08,-0.00017474173,6.742754e-05,1.5900927e-05,4.1714564e-05,1.1280546e-06,-3.349685e-07,1.75161e-05,-9.0814265e-06,-2.753507e-07,-6.548909e-06,-8.9478505e-08,1.067639e-06,-2.4881915e-08,-5.7306324e-06,2.2895108e-06,-1.0030366e-07,2.1737308e-06,5.026975e-05,-5.0987317e-05,6.778707e-06,-6.880756e-07,-5.7634606e-05
GSM1594586,5.0723685e-07,8.0148675e-05,-4.0847615e-05,-1.22445885e-08,-0.00018860123,6.5850734e-05,9.706362e-06,4.1917723e-05,1.3342867e-06,-8.0426867e-07,1.6151815e-05,-1.0271677e-05,-3.9422172e-08,-4.5942415e-06,-9.075121e-08,7.3937156e-07,-3.2787545e-07,-4.036924e-06,2.2195466e-06,-9.34295e-08,2.287852e-06,6.2418556e-05,-5.0492028e-05,6.7550595e-06,-6.676084e-07,-5.913372e-05
GSM1594587,5.811968e-07,7.336933e-05,-3.6071873e-05,-1.1612506e-08,-0.00017813938,6.729161e-05,1.546409e-05,3.8558566e-05,1.3317485e-06,-4.910172e-07,1.5382666e-05,-8.815219e-06,-6.343106e-07,-8.392627e-06,-9.593141e-08,8.1766007e-07,-4.6060646e-07,-7.947127e-06,2.1626474e-06,-9.0867886e-08,2.2389183e-06,6.213271e-05,-4.5862053e-05,6.432509e-06,-6.170462e-07,-6.0420705e-05
