ind,Cell Cycle,Extracellular matrix organization,DNA Replication,Cellular responses to external stimuli,Hemostasis,Neuronal System,Digestion and absorption,Mitophagy,DNA Repair,Metabolism of proteins,Metabolism,Muscle contraction,Signal Transduction,Cell-Cell communication,Reproduction,Gene expression (Transcription),Circadian Clock,Immune System,Chromatin organization,Disease,Programmed Cell Death,Organelle biogenesis and maintenance,Transport of small molecules,Developmental Biology,Metabolism of RNA,Vesicle-mediated transport
GSM1594604,-0.00026801278,9.3759394e-07,-1.1403237e-05,-7.631525e-06,2.3489395e-06,2.6251364e-06,7.570339e-08,1.7605194e-05,8.083076e-05,-0.000900518,-5.841406e-05,1.04332e-05,-5.759362e-06,1.1155449e-05,5.6024585e-09,-4.513104e-06,7.714599e-08,0.00437164,-5.099475e-07,-1.0642524e-05,6.22193e-06,-2.4454545e-07,4.066257e-05,0.0010382417,9.57232e-05,5.2255705e-06
GSM1594676,-0.0004140695,1.1125683e-06,-1.0793817e-05,-7.914344e-06,3.743158e-06,2.7251742e-06,7.297466e-08,1.659161e-05,7.016277e-05,-0.000854008,-5.6624638e-05,-3.44196e-07,-1.8251689e-05,1.1895217e-05,2.3667123e-08,-9.173863e-06,7.2192684e-08,0.004256991,-7.542571e-07,-8.69934e-06,1.0400823e-05,1.3656108e-07,4.400733e-05,0.00089508994,8.095734e-05,4.886601e-06
GSM1594722,-0.0004142933,1.1167034e-06,-1.1621223e-05,-7.9422925e-06,1.9242054e-06,2.6592306e-06,7.295713e-08,1.7658002e-05,8.070606e-05,-0.0009021031,-6.0203023e-05,1.2995597e-05,-4.407635e-06,1.0756555e-05,2.0718877e-08,-4.924843e-06,7.964177e-08,0.004410822,-5.238844e-07,-1.0580631e-05,5.4759853e-06,1.623876e-07,4.1504278e-05,0.0010319711,9.776384e-05,5.0657386e-06
GSM1594858,-0.0004105804,9.463424e-07,-1.3346447e-05,-7.878614e-06,2.8761015e-06,2.6483906e-06,7.982801e-08,1.642439e-05,7.67346e-05,-0.0007876163,-5.910763e-05,-2.1894866e-07,-1.977716e-05,1.1676402e-05,3.3572487e-08,-7.4637082e-06,7.962993e-08,0.0043190783,-6.071393e-07,-1.0084488e-05,1.0262468e-05,-8.819337e-07,3.9765127e-05,0.0012431704,8.3919535e-05,4.821031e-06
GSM1594988,-0.00030423596,6.7483245e-07,-1.1302484e-05,-7.4500927e-06,2.9945497e-06,2.4842502e-06,7.5690174e-08,1.6458203e-05,6.949339e-05,-0.00082656246,-6.287567e-05,-5.641964e-06,-2.180795e-05,1.1664132e-05,2.7523821e-08,-9.341636e-06,6.46918e-08,0.00444628,-6.3285927e-07,-1.1885143e-05,8.756185e-06,4.666585e-08,3.7593483e-05,0.0012047424,8.335268e-05,5.493696e-06
GSM1595030,-0.00043032676,1.2514796e-06,-1.1589431e-05,-7.549029e-06,2.6333046e-06,2.415079e-06,7.4320255e-08,1.6733886e-05,8.0912745e-05,-0.00087798346,-6.08663e-05,7.1881677e-06,-8.182805e-06,1.1258124e-05,4.2397513e-08,-4.9435835e-06,7.838321e-08,0.0044232993,-5.2180576e-07,-1.2220858e-05,7.2166913e-06,-5.0635623e-07,3.8828384e-05,0.0012548193,9.5257485e-05,5.24466e-06
GSM1595084,-0.00044668635,1.1197344e-06,-1.0742128e-05,-7.783883e-06,3.0023934e-06,2.7507785e-06,7.2963395e-08,1.6351214e-05,7.2249924e-05,-0.0009377667,-5.9700855e-05,-3.3744775e-06,-1.4147568e-05,1.13660835e-05,1.66894e-08,-8.389315e-06,6.471449e-08,0.004392137,-6.7277296e-07,-8.139996e-06,1.2661004e-05,2.4634187e-07,3.8791317e-05,0.0010687563,8.2236715e-05,5.033983e-06
GSM1595094,-0.0003869789,1.1136236e-06,-1.1309947e-05,-7.873844e-06,2.4095593e-06,2.702343e-06,7.294764e-08,1.6639853e-05,6.557298e-05,-0.0008545409,-5.8520312e-05,9.730885e-06,-9.155077e-06,1.1190818e-05,3.03488e-08,-8.420221e-06,7.9631405e-08,0.004490147,-5.6945174e-07,-8.450652e-06,9.558941e-06,6.463982e-08,4.0594026e-05,0.0010663044,8.952667e-05,4.926188e-06
GSM1595156,-0.00030321785,1.112486e-06,-1.1007508e-05,-7.641209e-06,2.40645e-06,2.6624712e-06,7.296925e-08,1.7333337e-05,8.317355e-05,-0.0008642178,-5.9788767e-05,1.2590383e-05,-1.0193325e-05,1.11456875e-05,2.358474e-09,-7.2408848e-06,7.3431956e-08,0.004400996,-7.283997e-07,-9.303664e-06,7.53157e-06,-1.3808526e-08,3.5168392e-05,0.000709526,9.689496e-05,4.9048604e-06
GSM1595177,-0.0004095575,1.2372217e-06,-1.0664691e-05,-7.561739e-06,2.9579794e-06,2.8447162e-06,7.8475395e-08,1.675735e-05,6.9390466e-05,-0.00081563526,-6.232821e-05,4.57616e-06,-6.453384e-06,1.1772164e-05,-1.1268125e-08,-7.383163e-06,7.218645e-08,0.0042656683,-5.3587326e-07,-1.047065e-05,1.2791418e-05,-5.128818e-07,4.0446568e-05,0.0009416381,8.607479e-05,5.292366e-06
