,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
NOP9,0.0,0.0,0.0,-0.10343876,0.23665415
LPCAT3,6.082276e-08,3.0,6.082276e-08,-0.103400946,-0.29490778
MAP1LC3B,7.258442e-05,4.0,7.258442e-05,-0.058319047,-0.43757266
SEPHS2,6.662576e-10,1.0,6.662576e-10,-0.10343834,0.059457522
ANKRD16,0.0,0.0,0.0,-0.10343876,0.23665415
ZBTB18,0.0,0.0,0.0,-0.10343876,0.23665415
LRRC28,0.0,0.0,0.0,-0.10343876,0.23665415
ZNF182,0.0,0.0,0.0,-0.10343876,0.23665415
TIAM2,2.7914643e-06,4.0,2.7914643e-06,-0.10170353,-0.4708045
ITGB1BP1,0.0,0.0,0.0,-0.10343876,0.23665415
MCU,3.4927232e-06,1.0,3.4927232e-06,-0.10126762,0.06112026
ABCB7,2.869384e-05,1.0,2.869384e-05,-0.08560217,0.07311977
SPATS2,0.0,0.0,0.0,-0.10343876,0.23665415
RGPD1,0.0,0.0,0.0,-0.10343876,0.23665415
FAM172A,0.0,0.0,0.0,-0.10343876,0.23665415
DUSP16,2.2979559e-05,1.0,2.2979559e-05,-0.08915427,0.07039891
VAMP2,1.07998485e-05,15.0,1.07998485e-05,-0.09672538,-2.4161577
TOMM6,0.00034010934,2.0,0.00034010934,0.107978985,0.04420313
ADCY7,0.00026292642,6.0,0.00026292642,0.060000766,-0.70133525
RAPGEF2,0.0,0.0,0.0,-0.10343876,0.23665415
TCF12,1.2386762e-07,2.0,1.2386762e-07,-0.103361756,-0.11768079
RABAC1,0.0,0.0,0.0,-0.10343876,0.23665415
RGS19,0.0,0.0,0.0,-0.10343876,0.23665415
FBXO28,0.0,0.0,0.0,-0.10343876,0.23665415
ZNF160,0.0,0.0,0.0,-0.10343876,0.23665415
FOXE3,0.0,0.0,0.0,-0.10343876,0.23665415
TRIM13,5.6698245e-05,1.0,5.6698245e-05,-0.06819416,0.08645405
MED6,1.1163795e-07,1.0,1.1163795e-07,-0.103369355,0.05951036
NUP205,0.0005268212,18.0,0.0005268212,0.22404222,-2.7020454
FBXO5,4.1171943e-06,2.0,4.1171943e-06,-0.10087944,-0.11577938
ZNF140,0.0,0.0,0.0,-0.10343876,0.23665415
UBE2W,0.00014787268,2.0,0.00014787268,-0.01151859,-0.047330264
MSMO1,0.0,0.0,0.0,-0.10343876,0.23665415
WDYHV1,0.0,0.0,0.0,-0.10343876,0.23665415
JAK2,0.00021845353,20.0,0.00021845353,0.032355662,-3.2032688
FUT11,0.0,0.0,0.0,-0.10343876,0.23665415
FH,7.2209945e-09,1.0,7.2209945e-09,-0.103434265,0.059460644
STAMBPL1,2.4810246e-05,1.0,2.4810246e-05,-0.08801629,0.07127059
CLOCK,2.879582e-07,2.0,2.879582e-07,-0.10325976,-0.11760266
SDHC,6.6918145e-11,1.0,6.6918145e-11,-0.10343871,0.059457246
OR8J3,8.0075097e-10,1.0,8.0075097e-10,-0.10343826,0.05945759
ECHDC2,0.0,0.0,0.0,-0.10343876,0.23665415
SPRYD4,0.0,0.0,0.0,-0.10343876,0.23665415
SNW1,1.4062105e-06,9.0,1.4062105e-06,-0.10256463,-1.3574489
EPAS1,3.7982463e-05,5.0,3.7982463e-05,-0.07982821,-0.6312454
