,R-HSA-1474244,R-HSA-1474165,R-HSA-168256,R-HSA-397014,R-HSA-4839726,R-HSA-1266738,R-HSA-400253,R-HSA-5653656,R-HSA-5205647,R-HSA-8963743,R-HSA-69306,R-HSA-1852241,R-HSA-74160,R-HSA-5357801,R-HSA-73894,R-HSA-8953897,R-HSA-8953854,R-HSA-1640170,R-HSA-1500931,R-HSA-112316,R-HSA-162582,R-HSA-392499,R-HSA-1430728,R-HSA-382551,R-HSA-1643685,R-HSA-109582
C3L-02956-01,-0.062,-0.006,-0.02,-0.022,0.032,-0.09,-0.057,-0.002,-0.005,0.033,-0.042,-0.059,-0.055,-0.034,-0.04,0.047,-0.025,-0.059,-0.04,-0.022,0.105,0.065,-0.098,-0.035,0.071,-0.067
C3L-02956-06,-0.06,-0.006,-0.022,-0.022,0.032,-0.092,-0.057,-0.002,-0.005,0.033,-0.042,-0.059,-0.051,-0.034,-0.041,0.044,-0.025,-0.059,-0.04,-0.019,0.099,0.07,-0.099,-0.034,0.074,-0.069
C3L-02956-06,-0.06,-0.006,-0.022,-0.022,0.032,-0.092,-0.057,-0.002,-0.005,0.033,-0.042,-0.059,-0.051,-0.034,-0.041,0.044,-0.025,-0.059,-0.04,-0.019,0.099,0.07,-0.099,-0.034,0.074,-0.069
C3L-03123-04,-0.075,-0.006,-0.025,-0.019,0.032,-0.089,-0.057,-0.001,-0.005,0.032,-0.042,-0.059,-0.047,-0.034,-0.039,0.039,-0.024,-0.051,-0.041,-0.025,0.118,0.044,-0.102,-0.033,0.045,-0.061
C3L-03348-03,-0.061,-0.005,-0.025,-0.022,0.032,-0.094,-0.057,-0.002,-0.005,0.032,-0.041,-0.059,-0.061,-0.034,-0.04,0.046,-0.025,-0.062,-0.04,-0.011,0.114,0.077,-0.092,-0.032,0.068,-0.064
C3L-03388-02,-0.059,-0.005,-0.027,-0.023,0.032,-0.092,-0.057,-0.002,-0.005,0.033,-0.041,-0.059,-0.059,-0.034,-0.039,0.046,-0.024,-0.059,-0.04,-0.012,0.108,0.082,-0.097,-0.037,0.072,-0.061
C3L-03394-03,-0.062,-0.005,-0.026,-0.021,0.032,-0.093,-0.057,-0.002,-0.005,0.032,-0.042,-0.059,-0.058,-0.034,-0.041,0.041,-0.024,-0.059,-0.04,-0.006,0.106,0.071,-0.085,-0.031,0.06,-0.065
C3L-03622-02,-0.063,-0.005,-0.022,-0.021,0.032,-0.091,-0.057,-0.002,-0.005,0.032,-0.042,-0.059,-0.054,-0.034,-0.04,0.045,-0.024,-0.059,-0.04,-0.013,0.105,0.072,-0.094,-0.037,0.063,-0.068
C3L-03629-02,-0.062,-0.005,-0.027,-0.021,0.032,-0.092,-0.057,-0.003,-0.005,0.032,-0.042,-0.059,-0.057,-0.034,-0.04,0.047,-0.025,-0.06,-0.04,-0.009,0.12,0.077,-0.093,-0.034,0.062,-0.065
C3L-03629-02,-0.062,-0.005,-0.027,-0.021,0.032,-0.092,-0.057,-0.003,-0.005,0.032,-0.042,-0.059,-0.057,-0.034,-0.04,0.047,-0.025,-0.06,-0.04,-0.009,0.12,0.077,-0.093,-0.034,0.062,-0.065
C3L-03629-02,-0.059,-0.005,-0.027,-0.022,0.032,-0.093,-0.057,-0.003,-0.005,0.032,-0.041,-0.059,-0.061,-0.034,-0.039,0.046,-0.024,-0.061,-0.04,-0.01,0.123,0.078,-0.096,-0.033,0.062,-0.065
C3L-03629-02,-0.059,-0.005,-0.027,-0.022,0.032,-0.093,-0.057,-0.003,-0.005,0.032,-0.041,-0.059,-0.061,-0.034,-0.039,0.046,-0.024,-0.061,-0.04,-0.01,0.123,0.078,-0.096,-0.033,0.062,-0.065
C3L-04080-06,-0.069,-0.005,-0.02,-0.021,0.032,-0.092,-0.057,-0.002,-0.005,0.031,-0.041,-0.06,-0.059,-0.034,-0.037,0.042,-0.024,-0.059,-0.04,-0.021,0.122,0.072,-0.075,-0.037,0.063,-0.066
