,coef
R-HSA-3311021,0.0014177776
R-HSA-3304356,0.003091091
R-HSA-3315487,0.0012852022
R-HSA-3371598,0.0
R-HSA-3371599,0.0067459582
R-HSA-3371568,0.01287831
R-HSA-3642279,7.3973075e-05
R-HSA-3645790,0.0026484134
R-HSA-3656532,0.00019294473
R-HSA-3656535,0.00090213446
R-HSA-5628897,0.010818539
R-HSA-5633007,2.87345e-05
R-HSA-5633008,5.0059843e-05
R-HSA-6791312,0.005692767
R-HSA-6796648,0.013890466
R-HSA-3296197,0.0
R-HSA-375276,0.00809266
R-HSA-375280,0.0020275386
R-HSA-375281,0.00052037084
R-HSA-391903,0.001086393
R-HSA-418038,0.0016918877
R-HSA-419408,0.0062241284
R-HSA-419771,0.002004249
R-HSA-444209,1.8405286e-05
R-HSA-419812,1.3864679e-05
R-HSA-420092,0.013410557
R-HSA-379397,2.3097144e-07
R-HSA-379398,2.7200577e-09
R-HSA-380287,0.00013790013
R-HSA-380612,9.333941e-07
R-HSA-389357,0.009886628
R-HSA-389359,0.0012663798
R-HSA-389957,0.0053861705
R-HSA-389960,0.018619623
R-HSA-390450,0.0004096367
R-HSA-389599,0.0011516218
R-HSA-389887,0.011849514
R-HSA-390247,0.00024308254
R-HSA-392451,0.023065938
R-HSA-418217,0.010025392
R-HSA-399719,0.032276586
R-HSA-399710,0.00041541588
R-HSA-434316,0.004044836
R-HSA-416550,0.003256343
R-HSA-416572,0.023775643
R-HSA-4608870,0.00858716
R-HSA-5099900,0.014341453
R-HSA-5140745,0.00051800505
R-HSA-881907,0.034504965
R-HSA-381753,0.0011014162
R-HSA-420597,0.00016326562
R-HSA-432720,0.00044260974
R-HSA-432722,0.006070962
R-HSA-435354,0.13749346
R-HSA-427589,0.00039069168
R-HSA-438064,0.012638152
R-HSA-5218920,0.058749508
R-HSA-5218921,0.0023312552
R-HSA-438066,0.019671347
R-HSA-448706,0.003019541
R-HSA-9007892,0.004392419
R-HSA-9008059,0.035422593
R-HSA-9012546,0.0028504988
R-HSA-9014826,0.040810946
R-HSA-9014843,0.0097366
R-HSA-8984722,0.005261168
R-HSA-9020591,0.0017494533
R-HSA-9020933,0.0005898286
R-HSA-9020956,0.0006931257
R-HSA-451306,0.12807208
R-HSA-500657,0.05139869
R-HSA-8983432,0.009720974
R-HSA-8985947,0.0013474298
R-HSA-9020558,0.0040602614
R-HSA-9020958,0.0012930757
R-HSA-912526,0.033328995
R-HSA-5467340,0.0029682491
R-HSA-5467345,0.00048721003
R-HSA-5358747,0.0069165123
R-HSA-5358749,0.027693996
R-HSA-5358751,0.028196648
R-HSA-5358752,0.15202187
R-HSA-5467333,0.031658374
R-HSA-5467337,0.17357737
R-HSA-5467343,0.0013205931
R-HSA-5467348,0.0062431158
R-HSA-912631,0.0063821995
R-HSA-901042,0.00015454426
R-HSA-549127,0.0005819272
R-HSA-561048,2.2841723e-05
R-HSA-5607761,0.03822882
R-HSA-5607763,0.032694127
R-HSA-5660668,0.012918691
R-HSA-5625886,0.0024779483
R-HSA-5637810,0.1682234
R-HSA-1236382,0.09653532
R-HSA-5638303,0.0015966694
R-HSA-5654687,0.002622142
R-HSA-5654696,0.042830016
R-HSA-5654708,0.025411243
R-HSA-5654716,8.6419204e-05
R-HSA-5654726,0.0017002947
R-HSA-5654727,0.006655421
R-HSA-5654732,0.09842119
R-HSA-5654733,0.001738335
R-HSA-5658623,0.00011525008
R-HSA-6803529,0.04623191
R-HSA-1839128,0.0026352804
R-HSA-8853334,0.029265042
R-HSA-8853338,0.008431081
R-HSA-5658442,0.025199221
R-HSA-5673000,0.0030239779
R-HSA-5674135,0.020946816
R-HSA-5675221,0.05987787
R-HSA-5218900,0.002183709
R-HSA-5685942,0.000535162
R-HSA-5685938,0.002669032
R-HSA-5693607,0.0003472878
R-HSA-6799198,0.060899395
R-HSA-844455,0.0077060447
R-HSA-844456,0.02387339
R-HSA-844615,0.0030585672
R-HSA-844623,0.0006816591
R-HSA-1059683,0.0018290931
R-HSA-6788467,0.032233812
R-HSA-5659996,0.0
R-HSA-6791055,0.0
R-HSA-6791461,0.0
R-HSA-6791462,0.0
R-HSA-8943723,0.0033942866
R-HSA-8943724,0.013261685
R-HSA-8948747,0.0064152875
R-HSA-8948751,0.017507356
R-HSA-68616,0.0011571101
R-HSA-68689,3.6051326e-05
R-HSA-68827,0.00067197625
R-HSA-162658,0.014370984
R-HSA-2299718,0.0003946702
R-HSA-2465910,0.00536
R-HSA-2500257,0.03213643
R-HSA-2514853,0.0035481825
R-HSA-380320,0.014651795
R-HSA-2470946,0.008913372
R-HSA-69091,1.1752414e-05
R-HSA-69183,0.0003215645
R-HSA-187577,0.0046166806
R-HSA-69205,0.015434266
R-HSA-69231,0.23236337
R-HSA-69273,6.2687086e-06
R-HSA-156711,1.4462356e-06
R-HSA-2565942,0.00029920225
R-HSA-8852276,0.00013878277
R-HSA-8854050,8.946265e-05
R-HSA-8854518,0.00031170077
R-HSA-8854521,0.0
R-HSA-75035,0.009896862
R-HSA-69563,0.0024862518
R-HSA-69610,0.0016470721
R-HSA-170822,0.00996585
R-HSA-204174,0.0066205855
R-HSA-72662,0.037133865
