ind,Extracellular matrix organization,Reproduction,Immune System,Muscle contraction,Chromatin organization,Developmental Biology,Circadian Clock,Vesicle-mediated transport,Mitophagy,Digestion and absorption,DNA Replication,Organelle biogenesis and maintenance,Gene expression (Transcription),Programmed Cell Death,DNA Repair,Cellular responses to external stimuli,Metabolism of RNA,Cell Cycle,Cell-Cell communication,Neuronal System,Signal Transduction,Metabolism of proteins,Metabolism,Transport of small molecules,Disease,Hemostasis
C3L-01039-03,-0.00044029488,0.00015254336,0.000367381,0.00025193387,2.1800616e-07,0.0005513689,0.0003752229,0.0016270465,1.8682855e-06,-1.772469e-05,-4.6224645e-06,-0.00038293842,0.00045120023,3.8186612e-05,9.739867e-05,-4.3977972e-05,-0.0004575531,0.0009437015,-4.3199394e-05,-0.0013618798,0.0034642874,0.005060395,-0.004084641,-0.0007524117,0.00653627,-0.00019957681
C3L-01039-03,-0.00039082303,0.00012461397,0.000105077495,0.0003027433,-3.069329e-08,0.0004103865,0.00038699326,0.0016869754,1.7842445e-06,-1.1506829e-05,-4.1942426e-06,-0.00035472048,0.00038476163,4.2609183e-05,-2.9435798e-06,0.00040405855,-0.00043253865,0.0009001819,-4.555979e-05,-0.00083947513,0.0037296973,0.005051513,-0.0047196583,-0.0010123256,0.006516158,-0.00013135518
C3L-01039-03,-0.00039082303,0.00012461397,0.000105077495,0.0003027433,-3.069329e-08,0.0004103865,0.00038699326,0.0016869754,1.7842445e-06,-1.1506829e-05,-4.1942426e-06,-0.00035472048,0.00038476163,4.2609183e-05,-2.9435798e-06,0.00040405855,-0.00043253865,0.0009001819,-4.555979e-05,-0.00083947513,0.0037296973,0.005051513,-0.0047196583,-0.0010123256,0.006516158,-0.00013135518
C3L-01039-05,-5.381983e-05,1.8168414e-05,-0.00017085417,9.498357e-06,-5.8823324e-09,0.00028596085,0.00020549916,0.0012200383,-2.718112e-07,-5.6544113e-06,4.132613e-06,-2.1001006e-05,4.182349e-05,4.543542e-05,0.00013093067,0.0011801238,-0.00013659612,7.571792e-05,-1.19484575e-05,-0.00019093999,0.0028483053,0.00016054772,-0.0009177435,-0.00042501334,0.0069514266,-0.0001244617
C3L-01039-05,-2.6864374e-05,9.9022e-05,4.833125e-05,0.00013866345,-1.3154015e-07,0.0005467558,0.00033689648,0.0015114612,1.2376013e-06,-1.9223504e-05,-2.3327561e-06,-0.00033879094,0.00025236132,3.472326e-05,0.00017993855,-0.00026746126,-0.0004807938,0.00038778072,-3.1547523e-05,-0.001112737,0.0033298056,0.0019078716,-0.00334735,-0.0005557238,0.0059475563,-0.00031955366
C3L-01052-02,-0.0002612043,0.00010567499,1.038338e-05,0.00015592728,-9.62541e-07,0.00060080265,0.00031078633,0.0016128316,1.172153e-06,-2.1742215e-05,-2.2914887e-07,-0.0003787815,0.00024892236,3.5751145e-05,0.00034497422,7.890651e-05,-0.0005313625,0.00053878943,-3.4259443e-05,-0.0012589076,0.003215799,0.0028759253,-0.0036087101,-0.0008119807,0.007249721,-0.00025519243
C3L-01053-01,-0.00013852098,9.113264e-05,-8.222671e-06,0.00011053685,-7.653546e-07,0.00047663428,0.00028255145,0.0015926027,8.1196083e-07,-2.1646892e-05,9.222401e-07,-0.0003167646,0.00016007955,3.4192202e-05,0.00020220154,-5.8329933e-05,-0.00055889954,0.00040865384,-3.2718857e-05,-0.00074872037,0.003317493,0.0028569782,-0.0038079298,-0.00093124533,0.008091781,-0.00019649214
C3L-01053-01,-0.00013852098,9.113264e-05,-8.222671e-06,0.00011053685,-7.653546e-07,0.00047663428,0.00028255145,0.0015926027,8.1196083e-07,-2.1646892e-05,9.222401e-07,-0.0003167646,0.00016007955,3.4192202e-05,0.00020220154,-5.8329933e-05,-0.00055889954,0.00040865384,-3.2718857e-05,-0.00074872037,0.003317493,0.0028569782,-0.0038079298,-0.00093124533,0.008091781,-0.00019649214
C3L-01158-01,-0.00020009479,0.00012639546,-0.0005842577,0.00013089197,-1.008056e-06,0.00054492836,0.00037997594,0.0015662792,1.4996664e-06,-5.7096863e-06,-7.1537823e-07,-0.00028535802,0.000415738,3.9807834e-05,4.4887067e-05,0.00031426674,-0.0005712182,0.00086191366,-3.9838844e-05,-0.00080059434,0.0037518423,0.0045271125,-0.003953993,-0.000727301,0.0077636177,-4.9857023e-05
C3L-01160-01,-0.00031090877,0.00015233383,-0.0001295231,0.00041677133,-9.039564e-08,0.00040095943,0.00040352883,0.0016164287,2.0878813e-06,-3.6501176e-06,-3.3196782e-06,-0.00034200517,0.00035348817,6.246973e-05,6.389378e-06,0.00023613352,-0.0005087568,0.000855855,-4.3500037e-05,-0.0011815146,0.003401156,0.0053551067,-0.005078744,-0.00086246047,0.0060777296,-4.5507073e-05
C3L-01328-01,-0.0001661396,9.825157e-05,0.00016069436,0.00035029842,-2.127362e-07,0.00042528738,0.00037187664,0.0016692823,2.2675958e-06,-7.818146e-06,-4.5116826e-06,-0.00033163332,0.00022464564,4.554586e-05,0.00032694725,0.0005231517,-0.00044319907,0.00058005,-2.5983412e-05,-0.0011147946,0.0034522898,0.0043452284,-0.0037558787,-0.0010545602,0.008163406,-0.00017030409
C3L-01328-03,-0.0005410497,0.00012277905,-0.00020256363,0.0001708878,-7.777633e-07,0.00050727295,0.0003588554,0.0016537495,1.3453587e-06,-2.0755126e-05,1.13261144e-07,-0.0003416169,0.00022558346,3.922709e-05,0.00033943556,0.000308826,-0.00047810999,0.00073163613,-4.1540676e-05,-0.0010935214,0.0030605497,0.003403524,-0.0033745312,-0.00082015846,0.009518548,-0.00014873044
C3L-01453-04,-0.00086208043,0.00014402179,-0.00033975282,0.00018835928,-1.1020374e-08,0.00038360996,0.00038978632,0.0016243249,2.1101164e-06,-1.24812295e-05,-2.4825995e-06,-0.00034116505,0.0003415209,3.3846907e-05,0.0003530611,-2.9943682e-05,-0.0006410298,0.00084140454,-4.0465296e-05,0.00015268478,0.0023586217,0.0061212126,-0.0027060176,-0.00035465788,0.011217375,-0.00032241613
C3L-02604-01,-0.000628118,0.000138227,0.00043952648,0.00026747654,1.2900471e-09,0.00032009298,0.00041072286,0.0016636491,3.8921025e-06,-7.252098e-06,-6.9113426e-06,-0.00039571713,0.00049996865,4.4528068e-05,0.00012773846,0.00069886365,-0.0005428415,0.0010579763,-4.6771445e-05,-0.0008390374,0.0035469495,0.004996481,-0.0036853538,-0.0009307715,0.0070623457,-0.00021331359
C3L-02606-04,-0.0003044024,0.00011816251,0.0001099351,0.00013670092,-8.662628e-07,0.0004985335,0.00030318624,0.0015624607,1.2884753e-06,-2.1888407e-05,3.4897695e-07,-0.0003723484,0.00019809991,3.2804237e-05,0.0002525749,0.0001374522,-0.00053224695,0.0005113172,-3.0968138e-05,-0.00078744406,0.0032868695,0.00276657,-0.0037111552,-0.00084362406,0.0076337643,-0.00027762973
C3L-02610-04,0.00017216317,7.934841e-05,8.030187e-05,9.840888e-05,-9.549752e-07,0.00045836912,0.00028081986,0.0014697815,1.2769234e-06,-2.1551392e-05,2.2951378e-06,-0.00037002715,3.1104817e-05,3.0582243e-05,0.00032218697,-5.678685e-05,-0.0004430377,0.00013607509,-2.256259e-05,-0.00010268938,0.0032514343,0.0009474719,-0.0033795082,-0.0006839468,0.005322277,-0.00039233678
C3L-02701-02,-0.0006631399,0.00011656122,0.0003420822,0.00029855562,2.6158622e-07,0.00042565292,0.00039676987,0.0016680653,1.7217027e-06,-3.5565988e-06,-4.4491335e-06,-0.00039151753,0.0003642556,4.3008244e-05,0.00024329856,0.00028151282,-0.00039122737,0.00091195636,-3.783062e-05,-0.0010083922,0.003482561,0.004737536,-0.0038468593,-0.0011923144,0.008466937,-0.00018679925
