ind,Circadian Clock,Metabolism of proteins,Hemostasis,DNA Repair,Signal Transduction,Metabolism,Extracellular matrix organization,Cellular responses to external stimuli,Immune System,Transport of small molecules,Gene expression (Transcription),Vesicle-mediated transport,Neuronal System,Chromatin organization,Reproduction,Developmental Biology,Organelle biogenesis and maintenance,Programmed Cell Death,Metabolism of RNA,Cell Cycle,Mitophagy,Cell-Cell communication,DNA Replication,Muscle contraction,Digestion and absorption,Disease
GSM1594304,-5.501375e-07,-0.000447402,0.00018613081,0.00058525975,-0.00035708945,0.00010594411,-5.709745e-05,0.00012707965,-3.6218902e-05,-0.00039520787,1.4893454e-06,-0.00021168654,4.0380584e-08,-1.8180986e-05,2.5148422e-06,-1.1549298e-05,5.312721e-05,-6.106471e-05,2.8782422e-05,-0.00019726605,-1.147266e-05,-1.0063513e-05,-7.395031e-05,0.00032881324,-0.00011611456,0.00010376842
GSM1594372,-4.6546324e-07,-0.00042011388,0.00019089336,0.00055578316,-0.00034590316,9.677371e-05,-5.6553305e-05,0.00011934599,-3.950157e-05,-0.0003857211,1.487932e-06,-0.00019538077,1.3914034e-07,-1.4937601e-05,1.4636369e-06,-1.1399591e-05,5.7801855e-05,-6.127537e-05,2.8080818e-05,-0.00019838673,-1.3695245e-05,-1.0223144e-05,-8.11838e-05,0.00032055992,-0.00011038239,0.00010436231
GSM1594391,-5.7581957e-07,-0.0003914373,0.00015702903,0.00057613186,-0.0003480179,9.390835e-05,-5.623978e-05,0.00011355116,-3.8443213e-05,-0.00040848306,1.3609439e-06,-0.00020096367,2.3165033e-07,-2.3226528e-05,1.9667866e-06,-1.1269853e-05,5.544732e-05,-6.263292e-05,3.067815e-05,-0.00021144716,-1.4239999e-05,-1.0185833e-05,-6.3633925e-05,0.00032191386,-0.000104825485,9.02132e-05
GSM1594413,-3.3655792e-07,-0.00043802327,0.000154438,0.0005531065,-0.0003229018,9.5914584e-05,-5.5244735e-05,0.00012181071,-3.629354e-05,-0.00042534884,1.3030357e-06,-0.00021862649,2.8249036e-07,-1.9051105e-05,1.9670326e-06,-9.763942e-06,5.2156865e-05,-6.144516e-05,2.605926e-05,-0.0002180951,-1.6530932e-05,-1.0314632e-05,-6.742469e-05,0.00033050776,-0.00011201512,9.7838594e-05
GSM1594533,-4.2978544e-07,-0.00043799926,0.00020872096,0.00058677624,-0.0003046038,0.00010385443,-5.5010252e-05,0.00012443517,-3.6838494e-05,-0.00042369048,1.2819253e-06,-0.00018309102,1.8853297e-07,-2.2507253e-05,1.2352425e-06,-1.0115258e-05,5.838912e-05,-6.3269516e-05,2.942357e-05,-0.00018192855,-1.5240007e-05,-1.04942155e-05,-8.582042e-05,0.0003332675,-0.00011491708,9.503313e-05
GSM1594536,-6.102808e-07,-0.00038851576,0.00013102811,0.0005956962,-0.0003815276,8.853216e-05,-5.427341e-05,0.00011281545,-4.0768933e-05,-0.00037965516,1.6073116e-06,-0.00023308407,-3.6301216e-08,-1.7854964e-05,2.631303e-06,-1.1583507e-05,5.5701e-05,-5.966737e-05,2.6909285e-05,-0.00020950071,-1.46360435e-05,-9.473369e-06,-7.189235e-05,0.00031969836,-0.000110890374,8.459218e-05
GSM1594549,-4.6344036e-07,-0.0004069263,0.00020893836,0.00058600237,-0.00031452058,9.095495e-05,-5.6517205e-05,0.00012150376,-3.7453527e-05,-0.00040642024,1.5402408e-06,-0.00022064616,3.2842713e-09,-2.0114083e-05,2.0857658e-06,-1.1444997e-05,5.5487908e-05,-6.166341e-05,2.8609167e-05,-0.00019398677,-1.2505731e-05,-1.0220835e-05,-7.129842e-05,0.00031039902,-0.000109310145,0.0001029166
GSM1594581,-4.1986087e-07,-0.0003940135,0.00021837812,0.000552262,-0.00034876805,0.00010134789,-5.6596757e-05,0.00011855272,-3.9588533e-05,-0.00036957546,1.3268219e-06,-0.00022051131,4.4383003e-07,-2.1619282e-05,2.2240554e-06,-1.0716035e-05,6.226666e-05,-6.120401e-05,2.9208773e-05,-0.0002027517,-1.7843753e-05,-9.565205e-06,-8.171434e-05,0.00032141706,-0.00010156234,0.00010057952
GSM1594588,-5.276069e-07,-0.00044009485,0.00023556616,0.0006231313,-0.00039318175,9.2209084e-05,-5.575826e-05,0.000119435324,-3.8818478e-05,-0.0003855942,1.6130244e-06,-0.00022715401,-3.998043e-08,-1.6928308e-05,1.5431276e-06,-1.2528144e-05,5.6111225e-05,-6.0859787e-05,2.7224687e-05,-0.00019486395,-1.4453287e-05,-9.934321e-06,-7.91658e-05,0.00031969245,-0.00012515727,0.00010205299
GSM1594589,-5.077602e-07,-0.00042430052,0.00024423198,0.00059199386,-0.00037047823,8.838334e-05,-5.5216708e-05,0.000119920725,-3.9709354e-05,-0.0003888649,1.4807586e-06,-0.00022325749,-5.1021996e-08,-1.8975876e-05,2.3445073e-06,-1.2005896e-05,5.6787547e-05,-6.0239647e-05,2.7090291e-05,-0.00019935852,-1.536078e-05,-9.876446e-06,-7.673951e-05,0.00032938053,-0.00012205276,0.00010315809
