,coef
R-HSA-3371599,8.2332735e-05
R-HSA-3371568,0.0011887059
R-HSA-3642279,0.0
R-HSA-3645790,3.9882798e-05
R-HSA-3656532,3.912062e-09
R-HSA-3656535,5.619068e-07
R-HSA-5628897,0.001108032
R-HSA-5633007,0.00044524824
R-HSA-5633008,7.2005832e-06
R-HSA-6791312,0.0011033674
R-HSA-6796648,0.00051099947
R-HSA-3296197,0.0
R-HSA-375276,0.0002625599
R-HSA-375280,3.9735414e-06
R-HSA-375281,3.9937493e-07
R-HSA-391903,2.5706825e-06
R-HSA-418038,0.00017556931
R-HSA-419408,4.35474e-05
R-HSA-419771,1.2165897e-06
R-HSA-444209,0.0
R-HSA-419812,9.218266e-13
R-HSA-420092,5.137722e-08
R-HSA-379397,4.9276746e-06
R-HSA-379398,8.048754e-06
R-HSA-380287,6.961133e-06
R-HSA-380612,1.1605791e-08
R-HSA-389357,4.475963e-09
R-HSA-389359,1.9769655e-06
R-HSA-389957,5.983695e-06
R-HSA-389960,4.820586e-08
R-HSA-390450,2.9690646e-06
R-HSA-389599,1.2636254e-07
R-HSA-389887,0.0003710731
R-HSA-390247,1.0501931e-05
R-HSA-392451,0.00010859018
R-HSA-418217,2.5409321e-05
R-HSA-399719,6.1790786e-05
R-HSA-399710,9.818946e-10
R-HSA-434316,1.4122052e-10
R-HSA-416550,0.00011367189
R-HSA-416572,0.00044265387
R-HSA-4608870,2.55759e-06
R-HSA-5099900,9.385332e-07
R-HSA-5140745,2.8691389e-08
R-HSA-881907,0.00017178121
R-HSA-381753,1.4102415e-05
R-HSA-420597,9.282858e-06
R-HSA-432720,0.00011302274
R-HSA-432722,8.9974696e-05
R-HSA-435354,0.00017503332
R-HSA-427589,9.576017e-11
R-HSA-438064,0.000106738946
R-HSA-5218920,4.5861085e-05
R-HSA-5218921,1.726034e-05
R-HSA-438066,4.5659845e-06
R-HSA-448706,4.0422903e-05
R-HSA-9007892,1.7996117e-06
R-HSA-9008059,5.8087708e-06
R-HSA-9012546,1.7089462e-07
R-HSA-9014826,6.5414804e-07
R-HSA-9014843,2.5286436e-05
R-HSA-8984722,5.6586992e-05
R-HSA-9020591,0.00031044264
R-HSA-9020933,4.522875e-06
R-HSA-9020956,2.0019144e-05
R-HSA-451306,8.5194384e-05
R-HSA-500657,0.00012481796
R-HSA-8983432,1.186025e-05
R-HSA-8985947,4.484303e-05
R-HSA-9020558,1.1858794e-05
R-HSA-9020958,7.0524606e-05
R-HSA-912526,8.9373214e-05
R-HSA-5467340,1.6487764e-05
R-HSA-5467345,4.6815792e-08
R-HSA-5358747,4.8803562e-05
R-HSA-5358749,6.746101e-05
R-HSA-5358751,5.9129252e-05
R-HSA-5358752,0.00015086839
R-HSA-5467333,4.044361e-09
R-HSA-5467337,3.09236e-06
R-HSA-5467343,1.1683939e-07
R-HSA-5467348,4.6807154e-06
R-HSA-912631,2.9724044e-05
R-HSA-901042,6.66933e-05
R-HSA-549127,1.4722399e-09
R-HSA-561048,2.8297775e-10
R-HSA-5607761,8.8039036e-05
R-HSA-5607763,1.0483715e-05
R-HSA-5660668,1.3797109e-07
R-HSA-5625886,1.33606e-05
R-HSA-5637810,0.00047613794
R-HSA-1236382,0.00054386456
R-HSA-5638303,6.363404e-11
R-HSA-5654687,6.176447e-05
R-HSA-5654696,2.756338e-08
R-HSA-5654708,1.0104056e-05
R-HSA-5654716,6.276335e-08
R-HSA-5654726,2.4132694e-05
R-HSA-5654727,5.821199e-06
R-HSA-5654732,2.7324772e-05
R-HSA-5654733,1.03552065e-05
R-HSA-5658623,2.4118935e-06
R-HSA-6803529,6.745418e-06
R-HSA-1839128,3.4865047e-10
R-HSA-8853334,1.6334927e-05
R-HSA-8853338,2.8295885e-06
R-HSA-5658442,1.6984523e-05
R-HSA-5673000,1.0980702e-06
R-HSA-5674135,1.8791754e-06
R-HSA-5675221,1.3654568e-05
R-HSA-5218900,1.602247e-07
R-HSA-5685942,0.00022310352
R-HSA-5685938,0.0002256453
R-HSA-5693607,0.00013019636
R-HSA-6799198,5.850095e-05
R-HSA-844455,0.0
R-HSA-844456,1.3149562e-05
R-HSA-844615,0.0
R-HSA-844623,1.7309876e-14
R-HSA-1059683,1.04212995e-05
R-HSA-6788467,1.86813e-05
R-HSA-5659996,0.0
R-HSA-6791055,0.0
R-HSA-6791461,0.0
R-HSA-6791462,0.0
R-HSA-8943723,2.9417048e-08
R-HSA-8943724,7.556629e-08
R-HSA-8948747,3.070136e-07
R-HSA-8948751,5.37643e-07
R-HSA-68616,3.5730773e-06
R-HSA-68689,5.778355e-05
R-HSA-68827,1.0539636e-06
R-HSA-162658,2.0525179e-06
R-HSA-2299718,6.591085e-07
R-HSA-2465910,1.2548348e-07
R-HSA-2500257,0.0006436361
R-HSA-2514853,1.3659442e-06
R-HSA-380320,0.00094004284
R-HSA-2470946,0.00029340884
R-HSA-69091,0.01155136
R-HSA-69183,2.9077526e-06
R-HSA-187577,0.0015994953
R-HSA-69205,3.1581746e-07
R-HSA-69231,5.876304e-09
R-HSA-69273,3.2911068e-08
R-HSA-156711,3.6474567e-08
R-HSA-2565942,9.676188e-06
R-HSA-8852276,8.922542e-06
R-HSA-8854050,2.9765678e-07
R-HSA-8854518,1.5985935e-06
R-HSA-8854521,0.0
R-HSA-75035,4.7676735e-06
R-HSA-69563,0.00048223266
R-HSA-69610,3.0196805e-05
R-HSA-170822,0.0027501439
R-HSA-204174,1.4050332e-06
R-HSA-72662,3.8349763e-06
R-HSA-72689,0.00025040173
R-HSA-72695,4.9753266e-06
R-HSA-72702,9.80768e-06
R-HSA-72706,3.8344395e-05
R-HSA-72731,1.8668443e-05
R-HSA-110330,7.699289e-05
R-HSA-110331,2.044794e-06
R-HSA-110328,3.2574487e-06
R-HSA-110329,0.0003456387
R-HSA-2393930,0.00043143833
R-HSA-74713,1.1975012e-06
R-HSA-74749,5.4775144e-05
R-HSA-75876,5.386084e-05
R-HSA-69229,0.005185228
R-HSA-77286,3.1673022e-05
R-HSA-71032,8.932386e-06
R-HSA-77288,0.0
R-HSA-877312,6.420781e-05
R-HSA-6811434,0.00027364446
R-HSA-6811436,8.5493426e-05
R-HSA-1358803,2.1492768e-05
R-HSA-8866904,9.91745e-06
R-HSA-8866906,4.247969e-11
R-HSA-8866907,3.2125692e-05
R-HSA-8866910,1.709127e-08
R-HSA-8866911,1.6461741e-05
R-HSA-8869496,1.7405729e-07
R-HSA-8874081,8.922549e-07
R-HSA-8875513,0.0
R-HSA-8875555,5.385969e-06
R-HSA-8941855,5.2139662e-06
R-HSA-8941856,1.6219401e-06
R-HSA-8941858,1.02050935e-05
R-HSA-8949275,1.2090965e-06
R-HSA-8951430,3.1297557e-06
R-HSA-8951671,3.3414758e-06
R-HSA-8951911,5.9585695e-06
R-HSA-8951936,3.287739e-06
R-HSA-8952158,1.6238393e-05
R-HSA-8939902,0.00016092691
R-HSA-8941326,0.00015802411
R-HSA-8941332,0.00010418721
R-HSA-8941333,2.1146312e-05
