,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
ZNF557,0.0,0.0,0.0,-0.14887504,0.21565834
IQCF2,0.0,0.0,0.0,-0.14887504,0.21565834
G6PC3,0.0,1.0,0.0,-0.14887504,-0.0027418935
MB,2.5668484e-08,1.0,2.5668484e-08,-0.14873894,-0.0026456225
SCRN2,0.0,0.0,0.0,-0.14887504,0.21565834
FAM122C,0.0,0.0,0.0,-0.14887504,0.21565834
KRTAP19-3,0.0,0.0,0.0,-0.14887504,0.21565834
MCTS1,0.0,0.0,0.0,-0.14887504,0.21565834
CADPS2,0.0,0.0,0.0,-0.14887504,0.21565834
PERM1,4.4159196e-06,1.0,4.4159196e-06,-0.12545988,0.013819984
IGF2BP1,3.007289e-10,2.0,3.007289e-10,-0.14887345,-0.22114098
AGAP1,0.0,0.0,0.0,-0.14887504,0.21565834
OR10J1,1.0096047e-08,1.0,1.0096047e-08,-0.1488215,-0.0027040327
MTCP1,0.0,0.0,0.0,-0.14887504,0.21565834
IDH2,0.00015993173,2.0,0.00015993173,0.6991532,0.37868074
JAM2,1.2138835e-06,1.0,1.2138835e-06,-0.14243849,0.001810768
NOTCH4,1.0363102e-11,8.0,1.0363102e-11,-0.14887498,-1.5315434
RBM5,2.4570463e-07,1.0,2.4570463e-07,-0.1475722,-0.0018203815
OR4D11,8.560232e-10,1.0,8.560232e-10,-0.1488705,-0.0027386989
CDKN2C,1.0168502e-12,4.0,1.0168502e-12,-0.14887503,-0.6579425
PSMD7,0.0,47.0,0.0,-0.14887504,-10.049152
DISP2,8.6861684e-14,1.0,8.6861684e-14,-0.14887504,-0.0027418935
SLC12A4,1.886781e-05,1.0,1.886781e-05,-0.048829626,0.06802169
DKC1,0.000135988,2.0,0.000135988,0.572193,0.28887993
AP5M1,0.0,0.0,0.0,-0.14887504,0.21565834
GLTP,1.4131661e-05,1.0,1.4131661e-05,-0.073942766,0.050258797
IDI2,0.0,0.0,0.0,-0.14887504,0.21565834
SCN3B,9.829658e-09,2.0,9.829658e-09,-0.14882292,-0.22110523
NXT2,0.0,0.0,0.0,-0.14887504,0.21565834
ABHD15,0.0,0.0,0.0,-0.14887504,0.21565834
NCLN,0.0,0.0,0.0,-0.14887504,0.21565834
TMEM86A,0.0,0.0,0.0,-0.14887504,0.21565834
SREBF2,2.8558608e-05,1.0,2.8558608e-05,0.0025552423,0.104366966
EEF1G,0.0,0.0,0.0,-0.14887504,0.21565834
PCBP1,0.0,1.0,0.0,-0.14887504,-0.0027418935
TMCC1,0.0,0.0,0.0,-0.14887504,0.21565834
ZNF202,0.0,0.0,0.0,-0.14887504,0.21565834
OR4C45,0.0,1.0,0.0,-0.14887504,-0.0027418935
CUZD1,0.0,0.0,0.0,-0.14887504,0.21565834
TNFRSF13C,2.4933417e-08,1.0,2.4933417e-08,-0.14874282,-0.0026483852
SCARF1,3.6440986e-10,1.0,3.6440986e-10,-0.1488731,-0.0027405408
CALM2,0.0,0.0,0.0,-0.14887504,0.21565834
STK33,0.0,0.0,0.0,-0.14887504,0.21565834
FGF1,5.233304e-07,18.0,5.233304e-07,-0.1461001,-3.7135832
CHRNA1,1.2009756e-05,1.0,1.2009756e-05,-0.08519404,0.042300604
ITGA2,6.119025e-07,6.0,6.119025e-07,-0.14563046,-1.0924481
CLASP2,0.0,5.0,0.0,-0.14887504,-0.8763427
TCP11L2,0.0,0.0,0.0,-0.14887504,0.21565834
CLEC4G,5.606957e-13,1.0,5.606957e-13,-0.14887504,-0.0027418935
HPRT1,1.2412481e-06,1.0,1.2412481e-06,-0.1422934,0.0019133999
TMEM151A,0.0,0.0,0.0,-0.14887504,0.21565834
GORASP1,0.0,3.0,0.0,-0.14887504,-0.43954235
USPL1,0.0,0.0,0.0,-0.14887504,0.21565834
ADPRH,0.0,0.0,0.0,-0.14887504,0.21565834
MAPK1IP1L,0.0,0.0,0.0,-0.14887504,0.21565834
DPYD,1.704308e-10,1.0,1.704308e-10,-0.14887413,-0.0027412605
ABT1,0.0,0.0,0.0,-0.14887504,0.21565834
CALY,0.0,0.0,0.0,-0.14887504,0.21565834
MTA2,0.00015907016,4.0,0.00015907016,0.6945847,-0.06135097
SLC4A3,4.981658e-09,1.0,4.981658e-09,-0.14884862,-0.002723215
MTHFSD,0.0,0.0,0.0,-0.14887504,0.21565834
GRM3,0.0,1.0,0.0,-0.14887504,-0.0027418935
SAYSD1,0.0,0.0,0.0,-0.14887504,0.21565834
FAM50B,0.0,0.0,0.0,-0.14887504,0.21565834
SNAP29,7.0270704e-05,2.0,7.0270704e-05,0.22373109,0.04240769
KRTAP22-1,0.0,0.0,0.0,-0.14887504,0.21565834
CNKSR1,2.1821023e-05,6.0,2.1821023e-05,-0.033170395,-1.0129033
MRPL33,0.00043423162,3.0,0.00043423162,2.1536117,1.1890404
COG3,0.0,3.0,0.0,-0.14887504,-0.43954235
ERN1,0.0,0.0,0.0,-0.14887504,0.21565834
SLC9A3,1.679949e-11,1.0,1.679949e-11,-0.14887495,-0.002741836
