ind,Circadian Clock,Chromatin organization,Cell Cycle,DNA Repair,Cellular responses to external stimuli,Hemostasis,DNA Replication,Mitophagy,Signal Transduction,Programmed Cell Death,Extracellular matrix organization,Metabolism of RNA,Neuronal System,Vesicle-mediated transport,Disease,Developmental Biology,Cell-Cell communication,Metabolism of proteins,Reproduction,Gene expression (Transcription),Digestion and absorption,Transport of small molecules,Metabolism,Organelle biogenesis and maintenance,Immune System,Muscle contraction
TCGA-CN-6010-01A,-7.882872e-07,6.056668e-06,3.7214068e-05,-0.00012723991,-7.966136e-05,5.8791662e-05,-0.00028644744,-0.00011020858,0.00025402117,3.273685e-05,-2.2708353e-05,0.0002421277,-2.0914435e-05,-4.648971e-05,0.00012434668,2.7136677e-05,0.0002005608,-0.00016191145,-4.4649296e-06,-8.5563035e-05,-2.6924016e-09,-6.763211e-05,6.456422e-05,-8.407798e-05,0.00023206876,1.1659304e-06
TCGA-CN-6012-01A,-6.390454e-07,4.990894e-06,4.41026e-05,-0.00010007733,-7.305967e-05,5.3666565e-05,-0.00029165673,-7.677204e-05,0.000251551,3.388812e-05,-2.1042757e-05,0.00023602415,-2.7797532e-05,-4.5963396e-05,0.00012105377,1.6597582e-05,0.00020245017,-0.00012724871,-4.4744806e-06,-8.591436e-05,-5.3843263e-09,-9.404004e-05,2.6363345e-05,-6.568909e-05,0.00024840722,6.350283e-07
TCGA-CN-6988-01A,-6.0484047e-07,7.1699997e-06,4.9902515e-05,-0.0001164634,-8.532645e-05,6.174341e-05,-0.0003033322,-0.000110431094,0.00021778155,3.13164e-05,-9.851149e-06,0.00023937544,-2.822287e-05,-4.5026067e-05,0.00013366858,5.3120828e-05,0.00022162251,-0.0001189908,-4.029807e-06,-5.4634827e-05,-5.383127e-09,-9.9659585e-05,2.1537644e-05,-8.211209e-05,0.00021059038,9.945917e-07
TCGA-CN-6988-01A,-6.0484047e-07,7.1699997e-06,4.9902515e-05,-0.0001164634,-8.532645e-05,6.174341e-05,-0.0003033322,-0.000110431094,0.00021778155,3.13164e-05,-9.851149e-06,0.00023937544,-2.822287e-05,-4.5026067e-05,0.00013366858,5.3120828e-05,0.00022162251,-0.0001189908,-4.029807e-06,-5.4634827e-05,-5.383127e-09,-9.9659585e-05,2.1537644e-05,-8.211209e-05,0.00021059038,9.945917e-07
TCGA-CN-6989-01A,-6.8343826e-07,3.778652e-06,4.286312e-05,-0.00011915046,-7.982706e-05,5.38021e-05,-0.00030709925,-0.00010615235,0.0002763368,3.5399382e-05,-2.2469396e-05,0.00023686902,-3.104013e-05,-4.2183892e-05,0.000113211245,3.7300055e-05,0.00020342713,-0.000104861974,-3.4662567e-06,-8.373778e-05,-3.5905687e-09,-7.879858e-05,5.3269185e-05,-9.404733e-05,0.00022908686,2.869057e-07
TCGA-CN-6997-01A,-6.644482e-07,4.0254763e-06,3.127615e-05,-0.00010746153,-8.5390246e-05,6.673545e-05,-0.0003404387,-0.0001402432,0.00025805968,3.429944e-05,-2.4806164e-05,0.00023817313,-2.4235665e-05,-4.7084715e-05,0.0001301878,1.9408075e-05,0.00022427028,-0.00015379603,-4.46281e-06,-0.00010106849,0.0,-6.5543536e-05,2.9569466e-05,-9.5569776e-05,0.00023909239,3.5003302e-07
TCGA-CN-A63U-01A,-3.766807e-07,2.5869092e-06,4.642636e-05,-0.000109899775,-8.185182e-05,5.6219942e-05,-0.0003029523,-0.000120294106,0.00023458301,3.105585e-05,-1.7109437e-06,0.00022420834,-3.3025226e-05,-2.2835777e-05,9.987478e-05,1.9052784e-05,0.00019032783,-0.00014809106,-7.0748947e-06,-6.6665874e-05,-8.0779365e-09,-5.4446504e-05,6.1815685e-05,-8.097144e-05,0.0002332146,8.768822e-06
TCGA-CN-A63U-01A,-3.766807e-07,2.5869092e-06,4.642636e-05,-0.000109899775,-8.185182e-05,5.6219942e-05,-0.0003029523,-0.000120294106,0.00023458301,3.105585e-05,-1.7109437e-06,0.00022420834,-3.3025226e-05,-2.2835777e-05,9.987478e-05,1.9052784e-05,0.00019032783,-0.00014809106,-7.0748947e-06,-6.6665874e-05,-8.0779365e-09,-5.4446504e-05,6.1815685e-05,-8.097144e-05,0.0002332146,8.768822e-06
TCGA-CN-A641-01A,-2.596627e-07,4.8446436e-06,6.309218e-05,-9.905661e-05,-8.126114e-05,3.8519178e-05,-0.0003146467,-0.000100995865,0.0002511853,3.0206575e-05,-1.1988994e-05,0.00023087725,-2.4827e-05,-3.288671e-05,0.00010669528,5.810325e-05,0.00015749593,-7.16479e-05,-1.890585e-06,-0.00010502716,0.0,-2.9858957e-05,2.2596896e-05,-7.270707e-05,0.00017834498,2.3833184e-06
TCGA-CN-A641-01A,-2.596627e-07,4.8446436e-06,6.309218e-05,-9.905661e-05,-8.126114e-05,3.8519178e-05,-0.0003146467,-0.000100995865,0.0002511853,3.0206575e-05,-1.1988994e-05,0.00023087725,-2.4827e-05,-3.288671e-05,0.00010669528,5.810325e-05,0.00015749593,-7.16479e-05,-1.890585e-06,-0.00010502716,0.0,-2.9858957e-05,2.2596896e-05,-7.270707e-05,0.00017834498,2.3833184e-06
TCGA-CR-7398-01A,-5.103099e-07,3.4229179e-06,2.0184629e-05,-0.00012135764,-8.0245016e-05,5.836678e-05,-0.00032420104,-0.00014148094,0.00023211983,3.0307052e-05,-1.5669093e-05,0.00022545809,-2.0785332e-05,-4.7177786e-05,0.00012572727,-1.8761457e-05,0.00023372856,-0.0001720049,-5.181913e-06,-9.565481e-05,-2.6979756e-09,-6.7241956e-05,5.480618e-05,-0.000108181404,0.00022415788,1.5010514e-07
TCGA-CV-5432-01A,-4.6267505e-07,4.6017835e-06,6.108066e-05,-0.00012298007,-7.403783e-05,5.4723085e-05,-0.00034420367,-9.860079e-05,0.00025074903,2.7314101e-05,-2.1015676e-05,0.000223941,-1.8813995e-05,-3.5215795e-05,0.000102289836,4.441657e-05,0.00016713853,-0.000121160054,-2.9944163e-06,-7.95396e-05,0.0,-6.59034e-05,1.9555084e-05,-4.6260877e-05,0.00015891135,6.232492e-07
TCGA-CV-5441-01A,-4.921238e-07,5.7889224e-06,5.5606077e-05,-0.0001023209,-7.382722e-05,5.0491923e-05,-0.00030671174,-0.00012803849,0.00024507957,3.213936e-05,-1.0334318e-05,0.00023334545,-1.9719777e-05,-3.1965967e-05,0.000103791666,9.911401e-06,0.00015962386,-0.00012471044,-6.0196867e-06,-6.57348e-05,0.0,-6.4076325e-05,2.3806402e-05,-0.000103506674,0.00020264974,3.4571165e-06
TCGA-CV-7101-01A,-6.285517e-07,5.457397e-06,6.252449e-05,-0.0001082915,-7.62265e-05,4.5202498e-05,-0.0002655095,-7.824769e-05,0.0002269362,3.2321044e-05,-1.9095676e-05,0.00025731383,-2.9616165e-05,-3.3851582e-05,0.0001292434,1.3500151e-05,0.00017702387,-0.00010697959,-2.4569372e-06,-8.135435e-05,0.0,-9.506325e-05,2.6785638e-05,-3.7197922e-05,0.00021618957,1.4039683e-06
TCGA-CV-7245-01A,-8.240275e-07,5.92298e-06,4.204489e-05,-0.00011052565,-7.832485e-05,4.9067134e-05,-0.00031597976,-0.00011051844,0.00025188536,3.2002652e-05,-1.8292212e-05,0.00023550873,-2.4200535e-05,-3.7834623e-05,0.00010386299,5.4620148e-05,0.00019254693,-9.9824254e-05,-2.8765342e-06,-7.7272816e-05,-8.9727703e-10,-6.2677704e-05,3.969533e-05,-6.9831614e-05,0.00019176914,9.024396e-07
TCGA-CV-7245-11A,-4.2270247e-07,6.4446613e-06,8.021487e-05,-7.464996e-05,-7.5064236e-05,2.7237775e-05,-0.00015071876,-8.6755106e-05,0.00020388092,3.0943298e-05,-2.5842117e-05,0.00024286435,-3.760083e-05,-3.20284e-05,0.00012033884,5.6349447e-05,0.00013945845,-7.285685e-05,-2.0600698e-06,-7.707944e-05,-8.059858e-09,-2.3866329e-05,0.000100156016,-6.4547225e-05,0.00024320104,5.142575e-06
TCGA-CV-7248-01A,-5.467583e-07,6.9126368e-06,4.9825834e-05,-9.7769094e-05,-7.2411036e-05,5.3247873e-05,-0.00030379783,-0.00013734454,0.00023219096,3.2426742e-05,-1.8276452e-05,0.00024365672,-2.297576e-05,-4.043949e-05,0.0001119818,9.74434e-06,0.00020893937,-7.8044235e-05,-6.5784097e-06,-6.4954285e-05,-2.6911509e-09,-6.479203e-05,9.0187226e-05,-7.3222065e-05,0.00021677534,2.6171083e-06
TCGA-CV-7250-01A,-3.718497e-07,5.8135856e-06,5.283043e-05,-0.00010556945,-7.777211e-05,5.814499e-05,-0.0003190623,-0.000115049086,0.00024326124,3.2779433e-05,6.581552e-06,0.00023758847,-2.9356195e-05,-4.257207e-05,0.00012595898,7.240817e-05,0.00019881615,-0.00011327705,-2.7280491e-06,-4.9486953e-05,0.0,-6.403432e-05,3.7042115e-05,-5.9855738e-05,0.00019439658,1.5210995e-06
TCGA-CV-7410-01A,-6.37786e-07,8.003622e-06,4.354878e-05,-0.000110748035,-7.407812e-05,5.156642e-05,-0.0002707496,-9.712356e-05,0.00021893471,3.2322216e-05,-2.6690468e-05,0.0002442977,-2.7791473e-05,-4.0936175e-05,0.00011506702,1.5618863e-05,0.00021401446,-8.464746e-05,-2.982424e-06,-8.70886e-05,-3.5876462e-09,-4.1930154e-05,3.398312e-05,-6.9770824e-05,0.00027436938,7.7359044e-07
TCGA-CV-7421-01A,-5.644785e-07,5.496627e-06,5.235202e-05,-0.000111360416,-7.8668825e-05,5.2324813e-05,-0.00024903324,-0.00013343646,0.00020975142,3.196907e-05,-1.4650187e-05,0.0002453193,-2.3620532e-05,-2.3413537e-05,0.00012791254,2.4716754e-05,0.00015806797,-0.00013726474,-4.7569742e-06,-8.1159604e-05,-8.9741803e-10,-8.088911e-05,8.930011e-05,-8.955395e-05,0.00019100854,7.840645e-07
