ind,Chromatin organization,Reproduction,DNA Repair,Vesicle-mediated transport,Hemostasis,Developmental Biology,Metabolism,Metabolism of RNA,Signal Transduction,Circadian Clock,Metabolism of proteins,Muscle contraction,Mitophagy,Cell Cycle,Disease,DNA Replication,Transport of small molecules,Organelle biogenesis and maintenance,Programmed Cell Death,Extracellular matrix organization,Cellular responses to external stimuli,Digestion and absorption,Gene expression (Transcription),Immune System,Cell-Cell communication,Neuronal System
GSM1594536,-0.0007713253,7.2973685e-06,-7.5149204e-05,3.1255022e-05,2.9991627e-06,9.334421e-07,-0.00017084659,-1.4806231e-05,2.6016713e-07,-1.651755e-08,7.392782e-05,-6.484307e-08,-3.7598955e-09,-0.00013589225,-4.849885e-06,2.7858932e-06,-6.6349644e-06,1.0233284e-05,-5.474533e-05,1.6646248e-06,3.167699e-05,2.7886252e-08,7.2616145e-05,2.6230688e-05,-9.897286e-07,2.260039e-06
GSM1594579,-0.0007952856,2.4722124e-06,-7.865717e-05,3.5066936e-05,2.3843168e-06,8.0448996e-07,-0.00018118502,-1.9564715e-05,2.0482763e-07,-1.8615424e-08,6.540657e-05,-9.842013e-07,-3.5753456e-09,-0.00012948771,-4.9766454e-06,2.6406592e-06,-1.47333985e-05,9.634748e-06,-5.2841955e-05,1.7093324e-06,3.0344518e-05,3.9218172e-08,6.9715396e-05,2.723106e-05,-1.0052431e-06,2.699111e-06
GSM1594590,-0.00078718405,6.1477353e-06,-7.635105e-05,3.4213605e-05,2.44896e-06,6.419751e-07,-0.00018313217,-1.7356717e-05,2.1270533e-07,-1.8170232e-08,6.691516e-05,-5.7388127e-07,-3.520067e-09,-0.00013047995,-4.9046384e-06,2.8250631e-06,-1.0577813e-05,8.917122e-06,-5.4691573e-05,1.6659143e-06,3.2128526e-05,3.268198e-08,7.031668e-05,2.8587576e-05,-9.50121e-07,2.577803e-06
GSM1594591,-0.00080160366,-6.717469e-07,-7.836911e-05,3.9208026e-05,2.6378214e-06,7.602663e-07,-0.0001868132,-1.8842085e-05,1.8013688e-07,-1.779683e-08,6.671738e-05,-2.8637905e-07,-3.5802576e-09,-0.00012954668,-5.0190647e-06,2.962807e-06,-1.0164505e-05,9.893683e-06,-5.524755e-05,1.6946833e-06,3.0188783e-05,3.1811826e-08,6.9035515e-05,3.0975065e-05,-9.702841e-07,2.7246147e-06
GSM1594600,-0.0008037696,3.0303778e-07,-7.460883e-05,3.972237e-05,2.731975e-06,6.6026774e-07,-0.0001818106,-1.7518478e-05,2.0555487e-07,-1.788616e-08,6.348308e-05,-2.2668841e-07,-3.412712e-09,-0.00013607014,-4.8321535e-06,2.6985947e-06,-1.0479176e-05,9.850816e-06,-5.371572e-05,1.5519307e-06,2.834667e-05,3.6604675e-08,6.900674e-05,2.8482624e-05,-1.0273234e-06,2.4051185e-06
GSM1594604,-0.0008000132,2.1225133e-06,-8.002316e-05,4.1311756e-05,2.6850107e-06,5.927354e-07,-0.00018849228,-2.0258845e-05,1.937526e-07,-1.7323242e-08,6.113722e-05,-4.8379013e-07,-3.5912242e-09,-0.00013364674,-4.9963696e-06,2.8102406e-06,-1.178802e-05,1.02779695e-05,-5.544924e-05,1.5867394e-06,3.0622443e-05,3.1811e-08,6.9944006e-05,2.9991243e-05,-9.81009e-07,2.6091227e-06
GSM1594639,-0.0008212934,-9.636661e-06,-7.407133e-05,3.80495e-05,2.8610768e-06,-3.0919063e-07,-0.0001781815,-1.611212e-05,2.0049868e-07,-1.9271656e-08,6.996906e-05,-2.8694917e-08,-3.5201713e-09,-0.0001262379,-4.891218e-06,2.825147e-06,-1.1782967e-05,1.10064675e-05,-5.2849115e-05,1.537018e-06,2.2137123e-05,4.401304e-08,6.896856e-05,3.4369852e-05,-1.0044513e-06,2.7124097e-06
GSM1594676,-0.0007842189,-4.3824643e-06,-7.353625e-05,4.0036917e-05,2.6549906e-06,7.657457e-07,-0.00017858123,-1.6565396e-05,2.2660466e-07,-1.8599563e-08,6.4265936e-05,-5.3254763e-07,-3.5073338e-09,-0.00012396989,-4.9977907e-06,3.1118393e-06,-9.463833e-06,9.466764e-06,-5.3794007e-05,1.7837127e-06,2.3470204e-05,4.2703313e-08,6.530491e-05,3.2236596e-05,-1.031682e-06,2.3423966e-06
GSM1594841,-0.00079752825,2.5958668e-06,-7.402069e-05,3.392286e-05,2.6057685e-06,5.645971e-07,-0.00018554307,-1.7921418e-05,2.1498225e-07,-1.6737888e-08,6.219274e-05,-6.295245e-07,-3.505718e-09,-0.00012811366,-5.0929316e-06,2.7454735e-06,-1.4584612e-05,7.857774e-06,-5.424349e-05,1.6622179e-06,3.0272486e-05,3.747395e-08,6.999763e-05,3.0020661e-05,-1.0074162e-06,2.4764279e-06
GSM1594850,-0.0007775178,6.679209e-07,-6.979265e-05,3.5142602e-05,2.5511765e-06,-2.6802928e-07,-0.0001689668,-1.8870873e-05,2.1645067e-07,-1.7205203e-08,6.9851034e-05,1.0387107e-07,-3.568995e-09,-0.00013283547,-4.8423058e-06,2.9377654e-06,-1.4603165e-05,8.626538e-06,-5.56865e-05,1.5715775e-06,2.3524612e-05,4.0525094e-08,7.24029e-05,3.0555468e-05,-1.0203944e-06,2.2897664e-06
GSM1594865,-0.00081897667,1.4444491e-06,-7.9322264e-05,3.9673174e-05,2.5389882e-06,9.3871006e-07,-0.00018460589,-1.8915636e-05,2.275332e-07,-1.709106e-08,6.5909044e-05,-8.304078e-07,-3.5406127e-09,-0.00013244341,-5.051393e-06,2.4173546e-06,-1.962559e-05,9.739073e-06,-5.293394e-05,1.8174342e-06,2.4560655e-05,3.747541e-08,7.116004e-05,2.8746523e-05,-1.0372243e-06,2.6769683e-06
GSM1594878,-0.000827028,1.1969358e-06,-7.255157e-05,3.600417e-05,2.789044e-06,3.133216e-07,-0.00017875408,-1.7629985e-05,2.3446535e-07,-1.8562403e-08,6.542753e-05,-4.5909147e-08,-3.406212e-09,-0.00012466552,-4.99755e-06,2.8187612e-06,-1.2214216e-05,9.490982e-06,-5.376332e-05,1.6299001e-06,2.8375905e-05,3.747423e-08,7.133558e-05,3.0674037e-05,-9.936423e-07,2.811303e-06
GSM1594884,-0.00080827024,-3.613639e-06,-7.375616e-05,3.75367e-05,2.533686e-06,9.2057866e-07,-0.00018673444,-1.7152159e-05,1.9447198e-07,-1.8219698e-08,6.190192e-05,-6.9439596e-07,-3.5327041e-09,-0.00012652329,-5.106411e-06,2.8061356e-06,-1.4970264e-05,9.370998e-06,-5.5124332e-05,1.6534783e-06,2.814526e-05,3.6603794e-08,6.895225e-05,2.9919376e-05,-9.991837e-07,2.7812478e-06
GSM1595030,-0.0008330861,1.9319145e-06,-8.197017e-05,3.6997524e-05,2.5831605e-06,6.850833e-07,-0.00018415047,-2.0249321e-05,2.1146097e-07,-1.7500058e-08,7.007785e-05,-5.37179e-07,-3.6877177e-09,-0.00012752405,-4.986308e-06,2.4745175e-06,-1.6165453e-05,9.810814e-06,-5.491595e-05,1.6587252e-06,2.714326e-05,3.1812007e-08,6.947735e-05,3.459426e-05,-1.0979159e-06,3.0113026e-06
GSM1595160,-0.00078054576,1.1893959e-05,-7.480753e-05,3.520008e-05,2.828366e-06,4.3040401e-07,-0.00018034565,-1.47674755e-05,2.1436196e-07,-1.716834e-08,6.6585286e-05,-2.3758695e-07,-3.5311276e-09,-0.00013080094,-4.900627e-06,2.5676748e-06,-1.4975482e-05,9.14746e-06,-5.389105e-05,1.5970438e-06,2.9606434e-05,3.2246234e-08,6.9154994e-05,2.8237375e-05,-1.0284023e-06,2.5567808e-06
GSM1595182,-0.0007738075,3.1804148e-06,-7.55565e-05,3.7210433e-05,2.693846e-06,2.1057365e-07,-0.00017724076,-2.0669197e-05,2.1215762e-07,-1.8036443e-08,6.4006985e-05,2.2954207e-09,-3.505688e-09,-0.00012910194,-4.944726e-06,2.6921903e-06,-5.8598157e-06,9.901536e-06,-5.4228432e-05,1.6851598e-06,2.8335115e-05,4.1395293e-08,7.209584e-05,3.1580534e-05,-9.903189e-07,2.4961346e-06
GSM1595193,-0.00078889925,-5.0629717e-07,-7.4052645e-05,3.9963008e-05,2.5713853e-06,2.8600445e-08,-0.00017817794,-1.6335347e-05,1.9207201e-07,-1.9406508e-08,6.505084e-05,-3.3054482e-07,-3.41726e-09,-0.0001302295,-4.803735e-06,2.6730295e-06,-1.2771022e-05,9.291657e-06,-5.4648626e-05,1.6323819e-06,2.4253113e-05,4.0088583e-08,7.044695e-05,3.1771324e-05,-1.0162406e-06,2.477733e-06
