,R-HSA-382551,R-HSA-1430728,R-HSA-8953897,R-HSA-69306,R-HSA-112316,R-HSA-1500931,R-HSA-5357801,R-HSA-1640170,R-HSA-400253,R-HSA-1852241,R-HSA-5653656,R-HSA-392499,R-HSA-8963743,R-HSA-168256,R-HSA-1474244,R-HSA-162582,R-HSA-74160,R-HSA-73894,R-HSA-1266738,R-HSA-4839726,R-HSA-5205647,R-HSA-8953854,R-HSA-1474165,R-HSA-1643685,R-HSA-109582,R-HSA-397014
TCGA-DJ-A2Q1-01A,-0.026,-0.028,-0.029,-0.006,0.046,-0.065,-0.057,-0.018,-0.008,0.028,-0.033,0.05,-0.035,-0.012,-0.039,-0.041,-0.089,-0.023,-0.081,-0.027,0.022,-0.03,0.015,0.002,-0.01,-0.049
TCGA-DJ-A2Q2-01A,-0.022,-0.028,-0.03,-0.002,0.049,-0.065,-0.057,-0.018,-0.008,0.028,-0.027,0.054,-0.034,-0.011,-0.043,-0.024,-0.089,-0.023,-0.081,-0.027,0.022,-0.03,0.015,0.001,-0.009,-0.052
TCGA-DJ-A2Q4-01A,-0.023,-0.015,-0.03,-0.005,0.046,-0.065,-0.057,-0.017,-0.008,0.028,-0.028,0.051,-0.034,-0.01,-0.037,-0.03,-0.088,-0.021,-0.08,-0.027,0.022,-0.029,0.015,0.003,-0.009,-0.052
TCGA-DJ-A2Q5-01A,-0.023,-0.022,-0.03,-0.002,0.046,-0.065,-0.057,-0.017,-0.008,0.028,-0.027,0.054,-0.034,-0.004,-0.039,-0.017,-0.088,-0.021,-0.082,-0.027,0.022,-0.029,0.015,0.004,-0.009,-0.052
TCGA-DJ-A2Q6-01A,-0.023,-0.021,-0.03,-0.002,0.046,-0.065,-0.057,-0.018,-0.008,0.028,-0.027,0.053,-0.033,-0.008,-0.037,-0.024,-0.087,-0.022,-0.082,-0.027,0.022,-0.029,0.015,0.004,-0.008,-0.052
TCGA-DJ-A3UO-01A,-0.023,-0.025,-0.03,-0.006,0.046,-0.065,-0.058,-0.017,-0.008,0.028,-0.027,0.051,-0.035,-0.011,-0.04,-0.042,-0.086,-0.022,-0.082,-0.027,0.022,-0.029,0.015,0.003,-0.008,-0.052
TCGA-DJ-A3UR-01A,-0.022,-0.024,-0.029,-0.004,0.046,-0.065,-0.056,-0.017,-0.008,0.028,-0.027,0.05,-0.035,-0.012,-0.036,-0.037,-0.089,-0.021,-0.083,-0.027,0.022,-0.029,0.015,0.004,-0.009,-0.05
TCGA-DJ-A3UT-01A,-0.022,-0.023,-0.029,-0.004,0.049,-0.065,-0.057,-0.017,-0.008,0.027,-0.03,0.05,-0.033,-0.012,-0.035,-0.046,-0.086,-0.023,-0.081,-0.027,0.022,-0.029,0.015,0.003,-0.01,-0.051
TCGA-DJ-A3UW-01A,-0.023,-0.024,-0.029,-0.008,0.046,-0.065,-0.057,-0.017,-0.008,0.029,-0.027,0.051,-0.036,-0.01,-0.04,-0.039,-0.087,-0.022,-0.081,-0.027,0.022,-0.029,0.015,0.002,-0.01,-0.051
TCGA-DJ-A3UY-01A,-0.022,-0.018,-0.03,-0.005,0.047,-0.065,-0.057,-0.018,-0.008,0.028,-0.027,0.052,-0.034,-0.01,-0.035,-0.03,-0.088,-0.022,-0.081,-0.027,0.022,-0.029,0.015,0.004,-0.009,-0.052
TCGA-DJ-A3V0-01A,-0.022,-0.022,-0.029,-0.006,0.046,-0.065,-0.057,-0.017,-0.008,0.028,-0.026,0.053,-0.033,-0.012,-0.038,-0.05,-0.085,-0.022,-0.081,-0.027,0.022,-0.029,0.015,0.003,-0.009,-0.051
TCGA-DJ-A3V4-01A,-0.022,-0.017,-0.029,-0.004,0.046,-0.065,-0.057,-0.018,-0.008,0.028,-0.028,0.052,-0.034,-0.012,-0.037,-0.03,-0.088,-0.022,-0.082,-0.027,0.022,-0.03,0.015,0.004,-0.009,-0.051
TCGA-DJ-A3V6-01A,-0.023,-0.024,-0.029,-0.006,0.046,-0.065,-0.057,-0.017,-0.008,0.029,-0.028,0.053,-0.033,-0.012,-0.038,-0.038,-0.087,-0.023,-0.081,-0.027,0.022,-0.029,0.015,0.003,-0.01,-0.05
TCGA-DJ-A3V7-01A,-0.023,-0.018,-0.029,-0.003,0.046,-0.065,-0.057,-0.017,-0.008,0.028,-0.028,0.049,-0.032,-0.012,-0.041,-0.042,-0.088,-0.021,-0.081,-0.027,0.022,-0.029,0.015,0.003,-0.01,-0.05
TCGA-DJ-A3V8-01A,-0.022,-0.024,-0.029,-0.004,0.048,-0.065,-0.057,-0.017,-0.008,0.028,-0.029,0.048,-0.034,-0.013,-0.039,-0.039,-0.086,-0.021,-0.081,-0.027,0.022,-0.029,0.015,0.003,-0.01,-0.051
