,coef
R-HSA-9020265,0.002156382
R-HSA-9026395,0.0
R-HSA-9018896,0.002296379
R-HSA-9023661,0.0077957353
R-HSA-9025094,0.005919969
R-HSA-9025106,0.0003943607
R-HSA-9034013,0.0036466783
R-HSA-9034793,0.04129172
R-HSA-9034864,0.0008980629
R-HSA-9603381,0.082664885
R-HSA-9603505,0.062419463
R-HSA-167060,0.032665852
R-HSA-912694,0.002224727
R-HSA-977068,0.0070440685
R-HSA-964739,0.008277074
R-HSA-975576,0.023725662
R-HSA-977441,6.6744514e-07
R-HSA-977442,3.7360223e-07
R-HSA-977444,0.00018272859
R-HSA-75205,0.0011892963
R-HSA-75892,3.076955e-05
R-HSA-111452,0.00029557862
R-HSA-111453,1.6387516e-05
R-HSA-111457,0.0016537468
R-HSA-114294,0.008171339
R-HSA-75108,0.019778892
R-HSA-110312,0.0030349502
R-HSA-110320,0.0029466113
R-HSA-5655862,0.011953949
R-HSA-5656121,0.00010062948
R-HSA-5656169,0.022259593
R-HSA-112303,0.0028490631
R-HSA-181429,8.717152e-05
R-HSA-181430,4.02257e-05
R-HSA-210500,0.0005359892
R-HSA-212676,7.4967946e-05
R-HSA-264642,8.266272e-08
R-HSA-210455,9.4284536e-05
R-HSA-112308,0.00056011096
R-HSA-426048,2.66133e-05
R-HSA-1433617,7.602099e-05
R-HSA-1300642,0.00014466929
R-HSA-1300644,0.00037164323
R-HSA-1300645,0.0
R-HSA-1300652,0.0012572582
R-HSA-2534343,0.0
R-HSA-1250196,0.13778211
R-HSA-1251932,0.037117448
R-HSA-1306955,0.015021621
R-HSA-1963640,0.098006904
R-HSA-1963642,0.0055946815
R-HSA-6785631,0.11755414
R-HSA-8847993,0.0072370344
R-HSA-1250342,0.00010436742
R-HSA-1250347,0.033743333
R-HSA-1251985,0.005183047
R-HSA-1253288,0.00030252774
R-HSA-198323,0.10863008
R-HSA-198693,0.0022835436
R-HSA-381340,0.012402664
R-HSA-5682910,0.00010749082
R-HSA-1170546,0.0014867507
R-HSA-982772,0.00020689942
R-HSA-198933,0.0060759694
R-HSA-2132295,0.011807642
R-HSA-392517,0.015033201
R-HSA-8851680,0.003614229
R-HSA-1296025,2.4552068e-05
R-HSA-1296053,0.0032796215
R-HSA-1296067,0.013149096
R-HSA-1296052,0.0003395394
R-HSA-1296061,0.002297921
R-HSA-1296072,0.0026778819
R-HSA-1299287,0.0
R-HSA-1299308,0.009427608
R-HSA-1299316,0.0
R-HSA-1299344,3.0411508e-07
R-HSA-1299361,0.0020898855
R-HSA-1299503,0.0
R-HSA-2395516,0.008655478
R-HSA-140834,0.0027548412
R-HSA-140837,0.0073226793
R-HSA-140875,0.019508878
R-HSA-1475029,5.9889786e-05
R-HSA-2564830,0.0059983316
R-HSA-71737,0.00061211316
R-HSA-1433559,0.0785111
R-HSA-1442490,0.008884707
R-HSA-1592389,0.0009033231
R-HSA-1566977,1.4295855e-10
R-HSA-216083,0.16647704
R-HSA-3000157,0.0050498797
R-HSA-3000178,0.13902552
R-HSA-8941237,0.0006216917
R-HSA-1237044,0.00078024785
R-HSA-1247673,6.257158e-05
R-HSA-1855156,0.0
R-HSA-1855167,0.026636675
R-HSA-1855170,0.0
R-HSA-1855183,0.018583775
R-HSA-1855184,0.0
R-HSA-1855191,0.003589841
R-HSA-1855192,0.0
R-HSA-1855196,0.0
R-HSA-1855204,0.015294621
R-HSA-1855215,0.0
R-HSA-1855229,0.0
R-HSA-1855231,0.0
R-HSA-1221632,8.361845e-05
R-HSA-912446,0.016440958
R-HSA-373753,0.00025117755
R-HSA-391160,7.98107e-05
