ind,Metabolism of RNA,Reproduction,Metabolism of proteins,Extracellular matrix organization,Digestion and absorption,DNA Repair,Cell Cycle,Gene expression (Transcription),Immune System,Vesicle-mediated transport,Mitophagy,Organelle biogenesis and maintenance,Signal Transduction,Muscle contraction,Neuronal System,Chromatin organization,Cellular responses to external stimuli,Circadian Clock,Hemostasis,Programmed Cell Death,Transport of small molecules,Disease,DNA Replication,Metabolism,Developmental Biology,Cell-Cell communication
GSM1594886,-0.00011791969,-1.5055143e-06,-7.98375e-06,-1.3638333e-06,-2.1547567e-06,4.0426963e-05,-3.5427872e-06,8.572687e-05,-1.7468041e-06,5.7861826e-08,-4.400444e-08,1.3631114e-07,2.1139356e-05,-2.3351949e-07,1.4590383e-06,1.0183574e-06,9.598531e-05,4.66707e-08,-8.548291e-06,1.5986172e-06,-7.668881e-06,1.4836388e-05,-1.8374237e-06,-1.878662e-05,6.048679e-06,1.1275749e-06
GSM1594887,-0.00011595415,-1.5952314e-06,-7.928624e-06,-1.5050141e-06,-2.0686332e-06,4.047545e-05,-3.2868463e-06,8.4623105e-05,-2.3418836e-06,5.368324e-08,-4.215062e-08,1.7655017e-07,3.103663e-05,-1.9999005e-07,1.4341973e-06,9.715098e-07,9.3846065e-05,4.3979828e-08,-8.854525e-06,1.5967765e-06,-7.727629e-06,1.5619275e-05,-1.9095187e-06,-1.5607055e-05,5.3246335e-06,1.1859789e-06
GSM1595079,-0.00011031033,-1.6722896e-06,-7.5833336e-06,-1.567635e-06,-2.075523e-06,3.940065e-05,-3.6168358e-06,8.297839e-05,-2.9401679e-06,5.312455e-08,-4.1915825e-08,4.0254925e-08,2.7142787e-05,-1.517357e-07,1.3794161e-06,1.0464842e-06,9.80879e-05,4.5040302e-08,-8.786054e-06,1.6222884e-06,-7.796917e-06,1.4534062e-05,-1.7424983e-06,-1.7183775e-05,5.843078e-06,1.3085978e-06
GSM1595148,-0.00011198942,-1.6327635e-06,-4.995406e-06,-1.4468416e-06,-2.1848348e-06,3.926452e-05,-3.038832e-06,8.399527e-05,-2.8628515e-06,5.4373736e-08,-3.8525773e-08,2.8496283e-08,2.3116148e-05,-1.9574136e-07,1.4353459e-06,9.702817e-07,8.2583814e-05,4.6662283e-08,-8.863948e-06,1.7754123e-06,-7.195202e-06,1.4054265e-05,-1.8864037e-06,-1.6390353e-05,3.1812854e-06,1.1511648e-06
GSM1595153,-0.00011516788,-1.6728369e-06,-6.7606006e-06,-1.620689e-06,-2.199389e-06,3.932355e-05,-3.5266223e-06,8.1398226e-05,-2.1994158e-06,5.768538e-08,-4.3205375e-08,1.9452588e-07,1.7816465e-05,-2.3735919e-07,1.4431891e-06,1.0769936e-06,9.4325216e-05,4.666415e-08,-8.737418e-06,1.5129011e-06,-6.894894e-06,1.5331034e-05,-1.9232125e-06,-1.548544e-05,4.3066593e-06,1.2439132e-06
GSM1595198,-0.00011723099,-1.7905509e-06,-5.46876e-06,-1.4397775e-06,-1.9762408e-06,3.6906742e-05,-3.969667e-06,8.496945e-05,-2.3824325e-06,5.627808e-08,-4.262605e-08,8.488178e-08,2.1609987e-05,-1.7632969e-07,1.4458293e-06,1.1358934e-06,0.00010932243,4.666911e-08,-8.202345e-06,1.3710693e-06,-7.442888e-06,1.4776015e-05,-2.0804305e-06,-1.7385923e-05,8.997007e-06,1.1726552e-06
GSM1595208,-0.00011387227,-1.7082779e-06,-2.9853984e-06,-1.505481e-06,-2.13505e-06,3.9906703e-05,-3.276112e-06,8.375516e-05,-1.9888735e-06,5.505451e-08,-4.0498204e-08,8.4274646e-08,2.3155619e-05,-1.7597598e-07,1.3410062e-06,1.0166068e-06,9.761704e-05,4.6139498e-08,-8.164156e-06,1.5575692e-06,-6.9454222e-06,1.4881391e-05,-2.1990186e-06,-1.5644719e-05,6.459223e-06,1.0393566e-06
GSM1594224,-0.00011560489,-1.6629998e-06,-7.507301e-06,-1.4033892e-06,-1.9716233e-06,3.7657024e-05,-3.892597e-06,8.631743e-05,-2.1158362e-06,5.5195873e-08,-4.480281e-08,1.03468295e-07,3.7139893e-05,-1.9280702e-07,1.569553e-06,1.122822e-06,0.000108579785,4.935089e-08,-8.404754e-06,1.2428089e-06,-7.0965757e-06,1.389063e-05,-1.9354811e-06,-2.3723218e-05,7.047186e-06,1.0605175e-06
GSM1594268,-0.000117797485,-1.5451401e-06,-6.3493026e-06,-1.5049321e-06,-2.1450107e-06,4.0363942e-05,-3.0810465e-06,8.167478e-05,-2.1322269e-06,5.4362527e-08,-4.152129e-08,9.415496e-08,2.4654595e-05,-2.2207253e-07,1.415192e-06,9.596403e-07,8.3405495e-05,4.3441123e-08,-9.135809e-06,1.6806455e-06,-7.223252e-06,1.5492345e-05,-1.8253904e-06,-1.611471e-05,2.1336607e-06,1.1539385e-06
GSM1594294,-0.00011377185,-1.5252261e-06,-7.858334e-06,-1.4476309e-06,-2.2200945e-06,3.8030066e-05,-3.6465506e-06,7.966084e-05,-1.9733548e-06,5.203659e-08,-4.23814e-08,5.8850247e-08,3.0926534e-05,-2.0173701e-07,1.4672495e-06,1.0153617e-06,9.77892e-05,5.09524e-08,-8.8074e-06,1.6746362e-06,-7.702924e-06,1.35854e-05,-1.7565617e-06,-1.8648472e-05,5.7088428e-06,1.2756345e-06
GSM1594382,-0.00011704236,-1.7272864e-06,-5.344275e-06,-1.4060261e-06,-1.98503e-06,3.7916034e-05,-4.0325654e-06,8.6525906e-05,-2.6592754e-06,5.5514626e-08,-4.0986368e-08,-1.3624772e-08,2.450255e-05,-2.2210085e-07,1.5040075e-06,9.852392e-07,9.7479046e-05,4.8257572e-08,-8.098469e-06,1.2132851e-06,-6.5524605e-06,1.4660143e-05,-2.0654484e-06,-2.2133298e-05,1.1595524e-05,1.0275278e-06
GSM1594391,-0.000108687265,-1.612829e-06,-9.220251e-06,-1.3256542e-06,-2.1978603e-06,3.9798033e-05,-3.619987e-06,8.006367e-05,-2.0262166e-06,5.2312725e-08,-4.1273708e-08,-2.478043e-08,3.9603372e-05,-1.7183149e-07,1.4530297e-06,1.0651784e-06,8.309267e-05,4.505516e-08,-8.659416e-06,1.6304566e-06,-7.1760023e-06,1.3249909e-05,-1.8336484e-06,-1.8061108e-05,6.320645e-06,1.1681554e-06
GSM1594408,-0.00011384383,-1.6337465e-06,-6.1413034e-06,-1.6013803e-06,-2.1523754e-06,3.9172166e-05,-3.924445e-06,8.3905565e-05,-2.0815094e-06,5.4549854e-08,-4.5667363e-08,9.235874e-08,3.0382049e-05,-2.0034162e-07,1.4380804e-06,1.070753e-06,9.024263e-05,4.400702e-08,-8.7237595e-06,1.5458289e-06,-8.1035705e-06,1.3867747e-05,-1.8220873e-06,-1.8413726e-05,5.8508667e-06,1.2851802e-06
GSM1594413,-0.00010991191,-1.5726254e-06,-6.092493e-06,-1.3489282e-06,-2.2081074e-06,4.0507377e-05,-3.1802322e-06,7.922571e-05,-1.7307314e-06,5.3212265e-08,-3.9906418e-08,8.05264e-08,3.1745592e-05,-2.0688584e-07,1.3477976e-06,8.67274e-07,8.140827e-05,4.5049564e-08,-9.172823e-06,1.7325266e-06,-7.5547287e-06,1.4959853e-05,-1.7529192e-06,-1.1686756e-05,2.495227e-06,1.120047e-06
GSM1594483,-0.000113756185,-1.6001125e-06,-8.796559e-06,-1.5234904e-06,-2.1129688e-06,3.903929e-05,-3.8917e-06,8.151143e-05,-1.9395711e-06,4.9957578e-08,-4.180152e-08,1.8087296e-07,2.7515982e-05,-1.6649406e-07,1.4745569e-06,1.0697004e-06,9.720814e-05,4.773063e-08,-9.043406e-06,1.4058519e-06,-7.897703e-06,1.2981977e-05,-1.8957912e-06,-1.9352348e-05,5.0662766e-06,1.2778188e-06
GSM1594501,-0.00011095357,-1.8026162e-06,-3.5257087e-06,-1.4628655e-06,-2.003813e-06,4.0224095e-05,-3.246111e-06,8.16583e-05,-2.6344067e-06,5.0515187e-08,-4.5001237e-08,6.565898e-08,2.1469785e-05,-2.0916026e-07,1.4407232e-06,1.0687612e-06,0.00010081308,4.5048875e-08,-8.6364325e-06,1.544749e-06,-6.7093683e-06,1.5377327e-05,-1.7800611e-06,-1.6897257e-05,6.4096967e-06,1.204916e-06
GSM1594531,-0.00011446262,-1.7073456e-06,-1.0975463e-05,-1.426275e-06,-1.8788178e-06,3.9276492e-05,-3.995498e-06,8.492519e-05,-3.7544837e-06,5.5003063e-08,-4.498706e-08,-1.2386567e-08,3.519694e-05,-1.9516071e-07,1.4496445e-06,1.1080812e-06,0.0001065223,5.2012663e-08,-8.176739e-06,1.3628925e-06,-7.199658e-06,1.4367774e-05,-1.8230476e-06,-1.996152e-05,6.5311865e-06,1.1872219e-06
